,post_text,reply_text
11,"""Hello all,  I hope BH's can help me understand my situation and whether I have any rights to unemployment benefits. I've never faced such a situation in the past (luckily). If it matters, I'm a resident of NC, and my employer (a large company) is based in SC. I've been working from home since the pandemic started.  Generally speaking the company has been struggling since I was hired there 3+ years ago. It used to be a private IT company before it was acquired by a public company, but this year it was taken private again by some PE firm. I am part of a G&A department (finance/accounting/marketing/etc.). It seems that more and more IT work is being shifted to India and G&A work is being moved to Mexico and India... Basically it's a classic story you read/hear in the news that blue collar jobs went abroad first and white collar work is next. I already have quite a few colleagues in Mexico and a couple of them in India. My situation...  I come back from my long vacation on September 1, and my manager sets a 1-on-1 meeting with me for September 12. He starts telling me: """"You know we are looking to all the different revenue and expense drivers and what we do in our department to make us successful and you know there's not much what you do here"," but you can keep looking for something else in the company in the interim. Would you be interested in talking to the X manager?""""  I'm like """"Oooo'kay"""" I can talk to her"
12,"""How about a thread for those of us who hit our numbers and were on the verge of retirement, only to decide to work for """"One More Year?""""  1. What was your original plan before you decided to work the extra year?  2. What went into your decision to work the extra year? 3. What adjustments", reached number in Summer 2021 (24x expenses + expenses fully covered by social security at age 70). Corporate work is no longer fun for me and I want to make my own schedule
13,"""I know the conventional wisdom is that the market recovers following a large downturn.  But it's hard to see any good economic news on the horizon.  Anyone think that traditional approaches to investing won't hold?  In other words """"This time it really is different."""" For those of us who are already retired with a 25-30 year time frame", cost of living higher
14,"""I have a job now that I don't love and don't hate. I've been here 7 years. I worked my last job 9 years and these two companies are all I know professionally. We're private equity owned and growing like crazy and patched together with duct tape and paper clips.   I have an offer for a new job and I'm paralyzed. I don't know what to do and can't seem to get close to a decision all weekend.   The things that scare me are:  -New job is fully in office. Old job is 95% remote. I like remote.  -New job I'd be the top finance person. The retiring person would train me, but this person is 68 and already not working full time. She'd be """"available for help"""" but not there every day. In the old job I report to a CFO so don't have ultimate responsibility", any financing
15,"""so here's the story. i historically live in a van. my net worth currently is 2.8mm which is down from 3.4mm over the past 6 months.  i currently own a vintage van worth about 30k and  a Tesla Model Y worth about 62k.  in September of 2021 i ordered a new Ford Transit van to replace the vintage van, it costs 65k. however, i was living in a studio at the time and i impulse bought a Tesla Model Y in December.  i had never had a car in the past and i never really had a use for one. but in the past 9 months I've come to really like the Tesla. it has permanent FSD (bought and paid for and enrolled in beta which drives itself from point A to B including all turns).   I'm no longer living in the studio and currently living at my mothers. i don't really want to live at my mothers and thinking it might be better to be back in the van but i can't go back into the vintage van, it has to be the new Ford Transit van but after the recent drop in the market I've been really stressed out.  i don't know what the right thing to do is. i know i have to sell the vintage van and get 30k back. but it is vintage and it will take months to sell.   Due to the drop in the market I can't tell if it is irresponsible to keep the Tesla in addition to the new Ford Transit van. i don't want to own 120+k in vehicles. But at the same time the self driving feature of the car is AMAZING.  I'm really unsure of what to do. in the past I've always had the van that i lived in and never had a smaller """"daily driver"""" car. which makes me anxious to trade the Tesla in.  but the price of Full Self Driving keeps going up and if i sell the Tesla I don't know if I'll be priced out in the future.   other things to think about: i would essentially be parking the Tesla and leaving 62k on the table. I don't have anywhere to charge the Tesla. I'm currently just going to superchargers or commuting to various chargers around the city where my mother lives", and also a bet on the Full Self Driving technology since I've already paid for it.  Anybody have any advice on what to do or are seeing something I'm not?  i don't have a regular job and i live off the dividends from the stock i own  which is roughly 50k a year. option 3 is I could just get a job to help pay for the Transit.  i currently only have 30k in cash
16,"""Family of 3 (me, wife and a 15 month old baby). Noticed that our grocery category is increasing a lot. From average $400/mo 2 years ago to now $900/mo. I understand that we have to feed the baby and it is expected to pay more, but is $900 seems reasonable? When I say """"groceries"""" I don't only mean food (which is sometimes organic)", etc. May be I should start splitting tracking those categories to see where is the leakage? FWIW
17,"""Just wanted to solicit opinions of others on their comfort level with exposing personal financial data to third party aggregators and the potential security and financial loss risks vs. the benefits of having all your data centralized and reported.  For the past 10 years of using Quicken, I was convinced the benefits of having a complete financial view outweighed the risk, provided my data stayed on my local hard drive and was not in the cloud.  All was well until a couple months ago when Quicken noted that Schwab had changed access requirements and I was required to login to Schwab and re-directed to a page titled """"Instruction and Informed Consent to Allow Quicken to Access Your Account Information"""":  How the Schwab Security Guarantee Applies. The Schwab Security Guarantee linked to below covers losses in your Schwab accounts", not just the Quicken cloud:  When you use the Products or Services you agree to: Allow us or our Suppliers to store and process your Content. In order to provide full Product and Service functionality
18,"""Dear All;  Without doing a whole portfolio review, I have Tax Deferred:  Rollover IRA 523K Vanguard TSM 190K Vanguard Total Bond  NY 403B 542K Guaranteed 7% Fund  NYC 457 50K Voya Total Stock Market  ROTH @Vanguard 77K Total Stock Market  Post Tax Brokerage @ VAnguard 24K VTI (Total Stock market ETF) 3K Norwegian Cruise  6K Costco  I have a 130K mortgage at 3.5% (24 years left)  NYC coop worth about 700K  0% Car loan 32K;  900 per month  I have a 58K non cola pension DH has 24K per year SS I am currently drawing 12K per year in Spousal SS.   I checked today and my future SS benefits are:  July 2022  3379/ MONTH Jan  2023/ 3469/MONTH July  2023 (MAXIMUM) 3578/MONTH  This year, even with no """"leftover"""" income from the department of ed coming in", it seems like it might be better to claim now
19,"""I left the company earlier this year after being employed there for well over a decade as I found a position in another company.  I was the only person with a certain set of skills in the group and was involved in many projects during my time there.  My co-workers were unable to take over for my responsibilities nor were they able to pay enough for somebody that could replace my skillset.  Fast forward to now and I've been asked if I want to return.  Apparently they are starting to have some issues with some of the applications I worked on that are in need of maintenance.  A couple of reasons I left there:  1) I was underpaid 2) They would not allow me to work remote even one day per week, even though I could have done a good 80% of my job remotely.  They are now offering to let me work remote.  Also I was asked what kind of a rate I would be looking for.  I would not technically be a consultant but considered a part time employee.  A friend suggested 3x my hourly rate  when I worked for the company (even though I was salary).  I doubt they would be willing to pay that and I wouldn't doubt if such a """"demand"""" could tarnish my reputation there (i.e. """"who does this guy think he is to ask for this much?"""").    The extra money would be nice to a certain extent but there are only so many hours I would be willing to work.  My current job gives plenty of technical challenges as it is.  What I don't want to do is start working part time for my former employer and getting burned out to the point where it would affect my current full time job.  If I don't set boundaries from the get go",2022-12-10
20,"""In another thread there is quite a discussion on frugal or minimum budgets or monthly expenses. Rather then muddy the waters there further I thought  I should post my """"as real as I can be about it"""" expenses for observation and comment. All per month.   Property taxes  ...... $456    Heat.....................50  ....    I heat with wood I cut myself  this is fuel and depreciation  on tractor",632/ year.   I maybe over stating gifts and clothing as we tend to receive as much as we give and much of what I receive is clothing.   Vacations come from DWs salary
21,"""I bought a new car this weekend. The advertised price online was $48,500. Once I arrived to the dealership, my wife and I drove the car. We liked it. We did not notice that there was no window sticker on the car.  When it came time to sit down and discuss sales price and financing, their offered price was $58,000. I mentioned the advertised price and found it on their website with my phone. I was told by the salesperson, """"That price was for a different car. This car is $58",000. I felt that I had talked him down a decent amount and acknowledged what he said about the market for vehicles. I purchased the car for $52k.  A few days after getting home
22,"""DW and I like a house which was totally re-done without proper permits from the town, we are told, and is being sold """"as is"""". We are of course being instructed to waive all contingencies and offer well above asking"," not timing the market"""" shall be our motto re: housing as well as investing)"
23,"""A family member completed short term rehab for mobility issues in a nursing home. Have to decide where he should go next. Nursing home social services spoke to us and stated full care in nursing home is not needed. Mentioned possibility of assisted living or living with a family member. Patients mobility has improved but still needs assistance at times.   Another family member hinted that I should take over all care for my father in my home. I think they said this because I'm financially secure, in my low 60's, and could retire anytime. Other family member can't retire yet. I love my father. But, I see all that was done for him in the nursing home and it scares me very much to take on all these responsibilities by myself .... all day, everyday. The other close family member said they would help """"whenever I can", it's more that it cost too much and he doesn't need it. He won't budge. To his credit he can still take care of his financial affairs. He wants to preserve his savings as an inheritance
24,"""We're unsure how to handle this situation since this is not the norm.  The 2nd party is a result of the graduate being disappointed with the way the 1st party turned out as it wasn't """"perfect"""" (i.e. cold day", etc).  Thoughts on how to handle this -- do we give another monetary gift
25,"""Delete if not allowed.  Background: I grew up lower-middle class in a small southern city of 30k and went to a public school .  Not sure that we even had private schools available in my city, honestly.  It was considered one of the """"good school district"""" for the town.  My wife (the oldest) also went to public school (but her brothers went to private at some point).  We've both turned out successful (but we're also both smart/hardworking).  Not saying correlation equals causation just saying we both went to mediocre small-city public schools and are successful.  We now live in a major metro area and each work for a megacorp.  Public schools in the city school district are", wasn't on my radar
26,"""Update Feb 6 - My dad passed away this past week, at home, comfortable and not in pain, surrounded by family. I'm very glad I was able to be with him in the end. As I mentioned in this thread, I will be receiving a substantial inheritance and will seek advice on how best to invest it, in another thread once more details are known. For now, I know my POA expired, and I let the brokerage know he passed away so they can start their process, whatever that is. I've never been involved in any death/estate issues before, so I'd like to ask the board for any advice or tips. I'm not the executor of the estate, but the uncle who is has some limitations in this area (described below) and asked me for help. It may be tricky to walk the line between being helpful and pushy, but I figure it's best to come armed with good ideas. What steps do we need to take? How do we find a lawyer to probate the will? etc. Thanks very much for the continued support during a sad and unfamiliar time. Edit: Thanks very much for all the kind words from the group.  Original post:  Background: My dad, a wonderful person in his late 60's, has been battling cancer for a long time. At the end of 2021 we found the cancer had spread to his brain, and he immediately started brain radiation therapy, an awful """"treatment"""" with devastating side effects. The treatment just ended", even setting up a POA for me with his brokerage (not a general POA) so I can call and ask questions
27,"""Hi everyone,  Even though I am 55 and well educated, I am not as savvy as most of you here about my finances and not as knowledgable as I feel I should be. Would love to get some help in two areas:  1. Investing - Please let me know (possibly again) where to start. I got the books """"The little book of common sense investing""""", depending on the year? Also
28,"""There are many threads on this forum that essentially ask, """"How did you achieve financial independence at an early age and retire?""""  This thread ask a different question", and gratifying -- for decades to come.   If you worked a long time
29,"""As I get older and my financial situation continues to improve (getting closer to financial independence but still plan to work a while longer), I want to make sure I'm not too into hoarding wealth.  I'm thinking a """"rule"""" where I'll spend at least 5% of my portfolio balance each year.  Say I have a $1M portfolio and only spent $40k for the year.  Then I'll have a $10k surplus to spend.  Where would I spend it? -  I'll give more (great timing with the holidays)"," hobbies.    I realize this """"rule"""" won't make sense for a lot of people (maybe even most) on here"
30,"""My college-aged daughter is taking Personal Finance and was given an assignment to make a budge that represents potential expenses as a college graduate living independently. As I went over this with her, she raised some questions that I couldn't answer. I could tell her when she needs her own health insurance (age 26) and her own auto/renters insurance (when she no longer has our home as a permanent residence).   But, when does a young adult get their own """"digital"""" life?  - Mobile phone"," and other software with family license  - Streaming services (a bunch of them)  Just curious how other families have handled this as their young adults establish independent lives."""
31,"""There's an applicant who's looking to rent one of my units in Massachusetts for $1,100/mo. The thing is, her only income is $5,000/mo from an irrevocable trust in her name.  Included in her application was a letter from a co-trustee, stating that """"there are sufficient funds"""" in the trust in order for the rental applicant to receive a distribution of $5", but is looking for work.  If she becomes delinquent on her rent
32,"""I'm a little surprised at how strongly they recommend that practically everyone should wait till 70--even for a planning horizon to the """"unrealistically low maximum age of 85."""" A fair portion of those who would not benefit from a later claiming strategy only do so because they would lose other government aid"," should wait.   https://www.nber.org/papers/w30675"""
33,"""Was just sent a 1099-R correction for 2021. Apparently my i401(k) was a traditional and not a Roth (I was unaware), and when I had it converted to a Roth IRA, it was a taxable event. No problem. Except in the original 1099-R form sent by Vanguard in early 2022, the form said $0 under the Taxable Amount box, so my accountant never considered it when I paid to have my taxes drawn up for 2021. Now in Oct, I was just sent a """"Corrected 1099-R"""" from Vanguard saying my entire retirement account actually was a taxable event in 2021.  I contacted my tax preparer and he said the fees/interest to the federal/state gov is many thousands of dollars. I called Vanguard and they refused to pay this money", and apparently someone from higher up is going to contact me in 1-2 days.  Am I truly the wrong here
34,"""Hi, I am planning to write a """"Death"""" book.  (no plans to die anytime time soon).  I don't have a safe deposit box or any really secure place to store it.  So I am leery about putting too sensitive of data in it. (worried about identity theft in case some robs my house)  If I say """"Bank X: Checking account"," """"Vanguard: Roth IRA"
35,"""I know the normal work hour is 40 hours a week but not everyone do 40 hours. Some people work more hours, some people work fewer hours. Hours are important because excessive work hours can put a lot of stress and pressure on you. It would be worse if you hate what you are doing along with the hours. How many hours do you work? How many hours do you actually want to work?  I'm a 29 years old millennial. I graduated without any student loan or credit card debt. I used to work 40 hours before April 2021. After getting my MBA last year, I got a new job making six figure. The best part about my job is that I only work from 14 to 17 hours a week. I work in the office three days a week and telework two days a week. Here is how my office work day goes: I usually leave my house around 8:40 am and get to work around 9:10 am. I work in a separate office from my colleagues. They are super chill and the office work culture is super relaxed so nobody ever says anything when I'm late. Sometimes I would be late for like an hour but nothing ever happens to me. I take my lunch break promptly at 11 am. I always take a 2 hour lunch break. During these two hours I watch YouTube videos, eat out at restaurant, and even take a nap. Then I get back to the office around 1 pm or 1:15 pm. Similar to the morning, I can get back a little bit later if I wanted because nobody says anything. I go home around 3 pm at the latest. Many times I go home around 2 pm or 2:30 pm. I usually get home before 3:30 pm. For the rest of the day I have a lot of free time to do whatever I want. I usually play video games, watch YouTube videos, and walk my dog.  Then there is telework. I telework two days a week. But let me be honest: I don't do much work at all during my teleworking days. I usually just log in to check email every two hours or so. I work probably less than 30 minutes on most of my """"teleworking"""" days. Working an hour is like a lot for me when I telework. The thing is", three days a week. I usually work about an hour when I telework
36,"""""""The Bogleheads wiki on 'Traditional versus Roth' isn't detailed enough for the casual reader"""" is not a comment one often (ever?) hears.  Be that as it may"," in addition to the more complicated approach currently described.   Those edits are in User:FiveK/Traditional versus Roth A direct link to the highlighted differences is Difference between revisions of """"User:FiveK/Traditional versus Roth"""" - Bogleheads  The recent Traditional or Roth 401K - Bogleheads.org topic is a good object lesson.  Various posters provided different suggestions.  All those suggestions were good"
37,"""We have a cruise booked for the end of this year on one of the cruise lines owned by Carnival. The family has been looking forward to it for a long time. We've made a deposit that we can get back if we cancel by September, but after that it has to be paid in full. However, since it's over 21 days since we first booked the cruise, it's apparently too late to buy travel insurance to cover Carnival bankruptcy.  Carnival stock has dropped from around $50/share to around $9/share. They've taken on a ton of debt (over $30B) that I doubt they'll be able to recover from, particularly with skyrocketing fuel costs and a weakening economy. Last quarter they lost $1.8B. They have about $7.5B cash on hand. Recently Morgan Stanley suggested the stock could go to $0 (some might ask why it isn't at zero already).  At the rate they're burning cash, if the economy becomes worse I think it's possible they would have to file this winter, but we'd probably make it under the wire. Plus I doubt it would be chapter 7. More likely a reorganization under chapter 11 (think airlines of past years). The business might continue to operate.   The family (and I) would really like to take this cruise. Strong emotions vs. obvious risk. A recent quote from their CFO really bothers me: """"And remember"," assuming it'll probably be ok? Or bail and do something else you don't like quite as well?  Thanks for any opinions!"""
38,"""My mother passed away earlier this year and as a result, my sister and I (both mid 30's) both received inherited IRAs in the $700k range.  My sister decided to buy a house in cash (~500k) by borrowing from the inherited IRA with the intent of returning the funds back to the IRA within the 60 day window based on her financial advisor's advice.  My sister sold her previous house and we also received proceeds from selling my mother's condo within a couple weeks of her buying the new house.  These funds had been expected to replenish the inherited IRA within the 60 day window.  As it turns out, the financial advisor was wrong and Inherited IRAs do not allow for the 60 day repayment window.  Any advice/strategy I should pass on given her situation?  She will be going from ~60k/year in income to 560k which will hit her pretty hard tax bracket-wise.  Isn't a financial advisor supposed to shield the uninformed from these types of issues?  FYI, this advisor works for one of the large firms frequently mentioned here.    Thanks in advance.   ** UPDATE ** I sat in on the meeting with the financial advisor today.  He spent a couple minutes saying he's done this before and that the IRS no longer allows it.  He then quickly jumped to the """"Good News"""" which was that the money to be returned could be invested in Option A (Conservative)"," the """"not a tax expert"""" line came out.  All pretty predictable. Sounds like my sister is out about 50k and will have a very large tax payment coming up this quarter ~150k."""
39,"""[Title was """"The new passed climate bill: optimizing home purchases for tax savings?"""" --admin LadyGeek]  I've seen some exciting headlines about the bill that passed centered around the $100B in taxpayer incentives for home upgrades.  Has anyone seen more details around when you can start seeing these savings / are there income limits / when is best to time home upgrades?  I ask because I have an old house and have just been dying to upgrade windows", so will pull that trigger shortly regardless of this)
40,"""Been a Chase credit card customer (never been late on credit card payments, *knock on wood*) since 2009. I kept getting these """"coupons"""" in the mail from them about a $300 bonus on a new checking a/c"," of course. I have never """"chased"""" bank bonuses in the past but got so many solicitations from Chase in the mail that I figured it would be good to have an extra $300 on a $500 deposit - awesome RoR there. Now I feel ripped off. I did send them a private message through the secure messaging system pointing out that the bonus on a new checking a/c is $300 not $200 but didn't hear back.   What do I do now? Should I go into a branch and complain? Should I escalate it elsewhere? Is there a govt or consumer protection agency that might look into this OBVIOUS scam? This may seem like a storm in a teacup over $100 but it IS a $100 (for my middle class family) and I feel scammed. Please advice.   Thanks!"""
41,"""Hi All,  Having recently lost my mother, and having been through the ringer of getting things organized with her finances before her passing (doing a trust, getting all the assets funded there, etc etc etc), things are actually pretty simple for the most part in terms of taking care of her affairs.    Despite being 37/36 and in good health, DW and I want to make sure we're doing the same thing for ourselves. In general I think we have a pretty good handle on things from a financial perspective...life insurance policies in place, beneficiaries up to date across all accounts, etc. But - and I'm sure there are probably many families out there like mine where one spouse """"handles financial stuff"""" and the other is hands off - if I were the one to get hit by the bus she would not be left in the best position to pick right up managing everything. Even though we do talk about things and she generally knows what's going on", very basic and brief overview of our total financial picture so if I were to disappear
42,"""My son is a freshman at one of our instate schools. The school somehow doesn't have his Social and they obviously need it for 1098-T reporting, etc. I have no problem with that. However, they are requiring that he give them a photocopy of his actual card. I am not ok with that. Seems very risky to have that piece of paper floating around with no security measures and no idea of what steps they take to protect it from prying eyes.  The odd thing is, when he applied submitting his social as part of the online application was not required, but if he had, they would have accepted it during that process. Now that he's a student they require us to fill out a """"change form"""" (it's not changing", and they won't do it on the spot with him standing there showing his actual card. They want a photocopy. Should I allow this? The SSA doesn't even recommend making copies
43,"""Hi,  I live in New Mexico.  After much research, my wife and I bought AARP/UnitedHealthcare Medigap/supplement plan Gs, because we understood that coverage would be accepted by any medical practice that accepted Medicare.  The """"Nurse Navigator"""" at an Albuquerque health practice would not set up referral cancer appointments for my wife because the medical system in question", Medicare lies
44,"""I'd read numerous articles about the """"death of cash"""" following COVID.  As more places adopted contactless payments",2022-10-08
45,"""I work for a big tech company. In the last year, the work environment at the company has gotten increasing worse to the point where there is outright discrimination that is tacitly being allowed by the leadership team. Several of us within the company have been very vocal about this. So far the stalemate is """"agree to disagree"""".  Recently", how can we fix this. This is HR/legal saying we don't like what you are doing
46,"""For those of you retired, what is something you wish you had known prior to retirement? Something you found out or discovered only after retiring?  I""""m not thinking of financial matters only",2022-06-02
