,Question,Answer
10,what's your net worth? and what do you do?,"my net worth is around $ 1 million, i don't have any reason to write as anonymous. i am a 22-year-old entrepreneur & investor who founded two successful startups in college. currently, i am working on my two startups and we have raised a good amount of money before the launch of our product from india’s well known vc firms. what do i do? i manage my several businesses which keeps me busy most of the time. i also started investing in early stage tech startups and invested in 7 startups till now. but whenever i get time, i do many things. i discuss ideas and strategies with aspiring entrepreneurs or students. i love to read books, which help me to boost my knowledge and confidence. till now, i have read more than 150 business books. sometimes, i go to speak about entrepreneurship, life and technology advancement in universities. i love to cook food for family or friends, at least 2 times a week. i don't live in big houses or drive expensive cars. instead of that, i live in a rented house somewhere in delhi and travel by cabs or metro. what do i need? i have a kickass team, a nice office and family. what else do i need? nothing. learn more about me and my work by visiting my profile here. rajnish prajapat"
11,did a co-worker ever try to hide their wealth or poverty from those at work? how did they do it and what happened after?,"when i was in college i worked at a big box store. my job was to do inventory and i also did some surveillance work since i could be on the sales floor in plain clothes while logging the inventory. one day i saw a co-worker shopping on her day off with her teenage son. it was obvious they didn't have much to spend and she and her son were going through coupons. i heard her tell her son on several occasions to put certain items back because they didn't have a coupon or enough money. i stayed unnoticed and continued working. later, i saw her at the cashier line and said hi. it was at that time that i noticed she was only buying a few essential items. she was paying mostly in coins. she apologized but then mentioned that was all she had. the next day at work, we somehow ended up talking about the cost of certain bills we had. it was at that time that she disclosed that she rarely makes enough to pay the bills and sometimes she has to use change from her and her sons piggy banks to buy essential groceries. i thought that was really sad. since i was in college at the time, working but living in my parents home essentially rent free, when christmas came around. i anonymously put a christmas card containing a $50 gift card for the store we worked at in her work mailbox. i never told her it was from me. she was grinning ear to ear that day. i was so glad i was able to help her even though it was not much. later i learned that she had thought the store handed out bonuses and that everyone had received a gift card."
12,how do you become rich without becoming an entrepreneur?,"let’s play monopoly to answer your question! remember this famous board game? image source how do you win the game? by making every other player bankrupt! correct? the player with most hotels and houses across the board always wins the game! the same rule applies in life —how do you become rich without owning a business? by owning assets! wealth originates from assets — not from a high paying job, not from saving money in the bank, not from working hard, but from cash flowing assets. next time you play monopoly, prove this lesson with a fun test: every player will play by the rules —except you. you start the game with 10 times more cash than the other players, but you cannot buy any properties. try it, and tell me who wins the game… after you prove this on the monopoly game, ask yourself, how are you playing the game of life? are you working to make money or to create wealth?"
13,what's the most expensive item you own without telling your parents how expensive it is?,"my samsung galaxy note 20 ultra 5g! worth rupees 1.13 lakhs. when my father asked me that how much does it cost you, that's how i replied— dad- waah yaar phone to badiya lag raha h kitney ka liya? ( wow that's a nice phone, how much does it cost you ?) me- papa y to second hand liya hai,14 hazar m mil gaya, aa to shayad mehenga raha hoga (dad this is a second hand phone,i got it for 14k , new might be a little expensive) dad — acchaa! sahi mil gaya itney m to, koi aisa phone dobara aaye to mujhey bhi batana ( ok, that's a great deal, do let me know next time if something like this comes again) 😆 edit 1:— whooaah! never expected that my answer would have 22k+ views and counting! now coming to the comments some moral police have advised me that this is clearly wastage of money, as i should have invested this money or give it to the needy and either i am earning 20k or not more than 1 lac in any case and only he can earn this much by trading 😂, and have bought this phone just to show off! let me clear few things for you 1.talking about my earnings:— i am a full time salesforce developer , which is basically a niche technology to work on in the morning time i give sessions on salesforce and data visualization using ea , for many online learning platforms like mindmajix, gologica. i can easily purchase this phone by giving few sessions only. after that let me come to my freelancing work, there are few android and salesforce projects are going on under my supervision! now you can make assumptions about my earning😊 and yeah let me remind you one thing, if you really feel that a job doesn't pay you good amount, then you must have not been passionate about the work you did at your job! 2. wastage of money ? if you buy something you love and you admire alot and you can afford it, this is not a wastage of money at all i am not that type of a guy who buy new phone every year, or even every two years. i have bought a new phone almost after 5 years!!! yes you read that right!! 3 . why this phone only ? first of all, this phone has solved many problems which i used to face earlier. writing with a stylus, convert that to pdf no camera came close to its zooming capabilities plus the quality of photos are just amazing. talking about, one plus? they have the worst cameras ,for a flagship phones. secondly, i am fan of hardwares. this piece of beauty is worth the money. may it be great cameras size of the screen quality of the screen feel in hand samsung dex 3 years of software update as promised by samsung and last but not the least which made me pick this phone is the current android project which we are working on, similar to docusign. this device is helping us alot on that. 4. why not iphone 12 pro ?? if you are paying this much of amount, you need latest features to be present on your device. iphone lacks all of these in display finger print curves super amoled screen with hdr zoom capabilities screen size stylus to do dozens of things iphone is far behind in terms of features 5 giving to the needy ? this is the thing which is in between me and my almighty, so i don't want to brag about this here giving valuable advice is a good thing, but if your advice is based on so many assumptions then clearly you need to inculcate your words. edit 2:— wow, 130k+ views and 2.2k+upvotes, that's huge! whoever is asking me about my profession , about salesforce, einstein analytics and about data visualization , can directly ping me for that! we can have a discussion over that , definitely! edit 3:- views are cruising to 200k ! cheers please check out my another answer too:- sameer mirza · 1y what is the most expensive item you've ever bought?my hyundai venue sx imt, so this is the most expensive thing i have bought independently on my own. and let me tell you one thing, this is the first time in my entire family (which consists of 250–300 people) that anybody has bought a brand new car. so yeah it was moment of proud for my parents and relatives as well. as i can't make them fit all at once in my car, but i still try to fit 2–3 people extra in my car whenever i go somewhere , so that soon everybody will have an experience that how does it feel to cruise in a brand new suv. yeah its a big thing for us!!! people criticize me alot for my choice, that you should have gone for tata or mahindra instead. but i am satisfied with my purchase. talking about the reasons why i have picked hyundai over tata and mahindra?? 1. looks of venue attracts me more as compared to nexon or xuv300 (i know that is subjective ) 2. far better after sales service of hyundai as compared to tata and mahindra (they have worst, if you dont believe ask from there owner and go to owner's experience on youtube) 3. better coverage of service centers of hyundai 4. better return value of hyundai cars( hyundai and maruti suzuki cars value just dont broke at all, but totally oppositein case of tata and mahindra. to verify this, go to olx or any used car app! you'll get to know) 5. low maintenance as compared to mahindra 6. interior of venue is best, or i can say better than nexon or xuv300 7. better availability of spare parts although nexon and xuv300 are great products in every aspects as well, and we have some good things too in nexon or mahindra but those pros were not the deal breaker for me.thats why i picked venue and i am totally satisfied with my purchase. i hope people don't bash me this time ,like they did in my last answer for buying an expensive phone by making tons of assumptions and this time for my choice. criticism is always welcome if you have not gone through my last answer, please visit thanks for reading"
14,"if i sue someone for a million dollars and they don’t have that money, where does the money come from?","that’s easy: you don’t get the money. if you win a lawsuit and the court issues a judgment, you don’t get the money. nobody hands you a check. it’s up to you to collect. if you know the person you sued has a bank account, you may be able to go to the bank with your judgment in hand, give them the bank account number, and put a freeze on their account. if you know they own real estate, you might be able to put a lien on it. but the point is, winning a lawsuit doesn’t mean someone hands you a million dollars. if they don’t have a million dollars, you won’t get a million dollars. maybe you might be able to get something, maybe you might be able to garnish their wages, but you will not be handed a million dollars."
15,is it true that joe biden plans to increase property taxes and impose more rent control laws to make it more difficult for real estate investors?,"about 2–3 times a week, a question like one of these floats though my quora feed: now, clearly not all conservatives are stupid. however, it’s sometimes hard to shake the idea that people who perhaps are below the median in native intelligence might tend to skew conservative. there is no federal property tax. joe biden is not raising property taxes because there is no federal property tax. the president has no say in and no control over property taxes because property taxes are local, not federal. same for rent control. rent control laws are not set by the president because there are no federal rent control laws. rent control is local, not federal. if someone tells you “joe biden is raising property taxes and passing rent control laws,” that person thinks you’re an idiot. if you believe them, they may be right."
16,how wealthy do you have to be to buy a bugatti chiron?,"it has to be in the obnoxious category of wealth. my cousin has a smog business out in the suburbs of los angeles. a lot of times i get to see jay leno pull into his shop to have his cars smogged. that’s always a treat to see. however, i got to see a chiron imported, then transported in a large rectangular container latched onto a special car, to his shop to be smogged. i can’t complain, i got to turn it on once and hear it roar. it was a cool purple color. the chiron is a special car. it’s hard to say that any bugatti isn’t a special car. from what i understand, there are about 3 chiron owners in or near the los angeles area. this owner, from what i was told, was from qatar. given the gargantuan expenses involved with transporting this thing across the planet here, and then having it transported by a rig to a smog shop, you have to go through some serious financial hurdles just to get it here. so it’s one thing to be able to afford this one, which was priced at just a bit above $4 million. you have to be able to pay for all the other things which could easily double the cost of this thing just to own it. if i had to guess what this person’s home looks like, i wouldn’t shy away from guessing it also costs around $10 million. which would make me think that their net worth is in the hundreds of millions of dollars. but you know what? even $4 million doesn’t buy you a cup holder. how is this guy going to get his starbucks? i found the video of the car being taken out of its trailer:"
17,how do children of wealthy families feel about their parents' wealth? are they proud or embarrassed?,"my family were not only wealthy but they were famous. not only did my parents have wealth; everyone knew it. we lived in the largest house in maryland where presidents and royals came to visit. as children we were away at school, i was in england and i used to fly home to maryland for vacations christmas summer etc. i would often take friends with me, no one in england had heard of chef boyardee, there was no internet or cell phone cameras, so when my friends were driven to my home from the airport they were always intimidated. it would never get old when someone asked ‘how do you pronounce your name’ i would reply ‘ it is pronounced boy-ar-dee ! just like chef ! to which people would ask, ‘any relation’ and i’d say yes, grandfather. they treated you like you were american royalty. without the need to show off, my parents were generous as could be, they would go to and host dinners, galas charity functions and be able to spend donate lots of money. it was seen as an obligation, but knowing they had the means to do this and did this made you feel good. this was before the internet boom and the technology revolution that created hundreds of multi millionaires, this was a time when people knew you had 50 million dollars it was like being jeff bezos is today. i was never ashamed of my parents wealth, but i was often ashamed of them as people, (just like any kid about their parents ) growing up rich had a lot of benefits, but it had a lot of drawbacks. one thing never seems to change in wealthy families, there’s jealousy, bitterness, resentment to those who have; from those who do not and that’s from within. my father was married twice, and had children from both wives, i was from the new wife. my mother was treated like a spoiled little child who should have been thankful ! it caused a lot of mental issues throughout growing up, a lot of stress, marital abuse which became child abuse. when you live with horrible people it does not matter how big their bank account is. i was always proud of the generosity to society of my parents and i know what great things they did. however, they had a lot to learn about being parents. in that respect they were just normal people."
18,"are there any infamous women who committed crimes in order to get rich, like db cooper?","i don't know if tiffany cole is infamous, but she should be, because the crime she committed in order to get rich is one of the most horrific i've ever heard of. tiffany cole was born in south carolina in 1981. her single father had a lot of health problems, and as a teenager, tiffany was taken under the wing of her neighbors, reggie and carol sumner, a couple in their 50s who treated tiffany like one of their own children. in 2005, the sumners, then both 61, put their home in south carolina up for sale and retired to jacksonville, florida. tiffany, then 24, visited them often, as she had purchased a car from them and would drive to their home to make payments. on one such visit, accompanied by her new boyfriend, michael james jackson, carol and reggie happened to mention that they had closed on the sale of the south carolina home, and made a profit of $99,000. they were thrilled, as the money would help them to remain comfortable in their retirement. as soon as tiffany and michael heard this, they decided that they were going to get their hands on that money. they enlisted the help of two other men, alan wade and bruce nixon, to help them carry out their robbery of the sumners. wade and nixon showed up at the sumners' home, stating that their car had broken down and asking to use the phone. carol, being a helpful, welcoming person, agreed — as tiffany had told wade and nixon that she would, based on the type of person she knew carol to be. once inside, the two men bound and gagged the couple, both of whom had chronic health issues and were physically frail, then proceeded to ransack the home. when they were done, they stuffed carol and reggie into the trunk of the couple's car, and drove them to a remote area across the state line in georgia, where a grave had been pre-dug. the sumners, crying and pleading, were forced into the grave, while their four kidnappers demanded all of their banking information, pin numbers, etc. it was at this point that they would have seen that tiffany, a woman they had treated like family, was involved, and i can't imagine the heartbreak and sense of betrayal they must have felt. once they had all the information they wanted, wade and nixon proceeded to bury carol and reggie alive. shovelful by shovelful, they filled in the grave. even after it was completely packed in, the four could hear the sounds of the couple dying. the coroner's report stated that dirt was found in the sumners' noses, mouths, throats, lungs, and stomachs. this was one of the most agonizing deaths imaginable. after killing the sumners, tiffany and the others went on a spending spree. here is a photo of tiffany and michael celebrating shortly after the murder. bruce nixon was the one who confessed to the police and led them to the sumners' grave. in return, he was spared the death penalty and sentenced to 45 years. the other three all received death sentences, but in 2017, the florida supreme court ordered new trials for all three, as the original jury had not unanimously recommended the death penalty. all are still currently awaiting new trials. tiffany cole is a monster. how she could so heinously betray the people who treated her with such kindness and generosity, out of sheer greed, is mind-boggling. rest in peace, carol and reggie."
19,what efforts do you do now to become retiring wealthy?,"i am a 69-year-old retired silicon valley engineer. i retired in november 2021 just before i reached age 68. i am well off, but definitely not wealthy. only about 30–40% of my own and wife’s income is coming from social security, the rest is coming from 401k’s, ira’s, pensions, and stocks. plus, i no longer have a mortgage or any other significant debts. and, we are now living in a brand new custom-designed 2500 square foot italian-villa style home on 1.2 acres in the texas hill country that we paid cash for from the sale of our california home in the silicon valley. the 500 square foot upstairs portion is an independent studio apartment with its own separate entrance, a full bathroom, and a kitchenette. we currently rent it out to local college students but it will be for our in-home care-giver when we are too old to take care of ourselves. our annual income is only around $100,000 per year, (i made over twice that in the silicon valley), but we have no bills except utilities, groceries, property taxes, and supplemental healthcare insurance. medicare is our primary coverage and it pays about 80% of outpatient care, the low-cost supplemental insurance pays the remainder. i planned almost 20 years ahead for all this. i suggest you all do the same. c’est la vie."
20,what is one thing that warren buffett has that you want?,"warren buffett’s golden mcdonald's card. this mcdonald's brilliant card awards you limitless mcdonald's food whenever, any establishment in omaha, until the end of your life, for nothing. i know, stunningly right? this card is so select and restricted that main top-level individuals can get their hands on it. others who own this card are bill doors and david peterson, who claims and works six mcdonald's areas in california, and whose father created the egg mcmuffin."
21,what had been removed from your property that you thought would have come with the property before you purchased it?,"years ago my sister-in-law and her husband were looking to buy their first house. her uncle was itching to buy a lot in a new subdivision to build a house. he bought two lots and began building. he offered to sell his old house “at the family rate” to sil once his new one was completed. the “family rate” turned out to be market rate. but she wasn’t upset about not getting a discount. he had planted a tree in the yard just before he decided to build a new house. once he moved and realized he had no trees, he looked into buying the same kind to plant around his new house. the price had gone up. what’s a guy to do when he’s spent so much on the land and house and furniture that he can’t afford the expensive tree he wants to plant? several months after sil’s family moved in, her uncle returned, telling her the newest tree wasn’t part of the sale, dug it up out of her yard, and moved it across town to his new house. he had spent months bragging to the whole family about how generous he was to help out his niece. she’s a bit timid anyway. she didn’t want a huge family stink, so said nothing until 10+ years later when we had a discussion about real estate sales. clearly my husband was right to not trust his uncle."
22,"would you agree to have a tail that could never be removed and was always visible, in exchange for a billion dollars?","this is a very easy choice. a billion dollars is an unbelievable sum of money, a billion is 1000 times more than a million. that’s a lot. i would have trouble spending 1 billion in a lifetime if i didn’t pay exorbitant prices for luxuries that most people don’t even know exist. i’m taking the billion and the tail. if i get lucky it’s like a cat-tail and helps with balance. if not then i’ll wipe my tears away with hundred dollar bills. money can’t buy happiness, so i’ll simply have to rent. what a darn shame."
23,why will most people not become millionaires?,"because they don’t have the courage to ask for it — they don’t even think it’s a possibility. because they want quick fixes, that course, that scheme, that shiny thing. — they want it tomorrow but wealth is built long-term. because they are lazy thinkers — they don’t find better ways to provide value in the marketplace. because they don’t improve themselves— no time for financial literacy, developing skills, shifting mindset, etc. because they never take action. — they will never start any business or try anything and just feel good reading such answers. because they don’t save money — you can’t make money work for you if you don’t have any. because they have bad beliefs about money — “money is evil” and “if you make millions, you take away from the poor”. because they are scarcely selfish— they don’t want to provide value instead just want to make a quick buck and run. because they don’t budget and live above their means — poor financial skills. remember, money is a mindset game, fix yours."
24,what are some differences between rich people's mindsets and poor people's mindsets?,"the biggest difference that i encountered, after exposure to both sides of the wealth spectrum, is the value people place on their own time. that is, wealthy people are much more likely to use their money to save their time, not just because they have the money to do it, but because they have an internal value that they put on their own time that less wealthy people don’t have. i grew up in a lower-middle class family, surrounded by other lower-middle class families. the adults in my life back then took pride in being able to do things on their own, even if the savings were trivial. “that cake is $5? i could buy the ingredients and make it myself for $3. what a ripoff!” as a kid, since that was all i’d ever been exposed to, that kind of thinking made sense to me. i remember several times helping my parents make or build or do things that they could have paid someone else to make or build or do, but they knew how to do it, had the right tools, and… most importantly… didn’t put a price tag on their free time. so they just did it themselves. and, maybe, they enjoyed doing some of those things, too. maybe the person who spends an hour making a cake to save $2 on it actually enjoys baking? or maybe they didn’t realize that they’ve valued themselves at just $2 an hour? in college, i took a job working for a very wealthy suburban chicago family, taking care of their disabled son. my eyes were opened to the world of things you could pay people to do for you, for no other reason than you valued your free time. i think the most eye-opening incident of all was when they catered their thanksgiving dinner. at my house as a child, prepping thanksgiving dinner was a multi-day, several hundred dollar event. it required multiple trips to different grocery stores, a day of cleaning the house and prepping the food, cooking the food all morning, spending a few hours enjoying it, then a day’s worth of clean-up the next day. it was exhausting. but my bosses that first thanksgiving i worked for them? it took them like 30 minutes to pick the food they wanted from a catering menu and order it. their entire thanksgiving break was all about spending time with friends and family, with absolutely no stress from dealing with the meal part of the holiday. and, all told, they probably didn’t spend that much more than my parents spent on all of the groceries and whatnot, so they could do it all themselves. i live an upper-middle class lifestyle myself these days, and the value of my own time is always on my mind when making decisions. this evening, for example, i have no dinner plans. i could stop at the grocery store on my way home, get everything i need to make, say, burritos, go home, make them, then clean up the kitchen afterwards… or, i could just open a new window on my laptop really quickly, log on to grub hub, spend about three minutes ordering the usual from the local mexican restaurant, and have it delivered to me at home. it would cost about $20 more, but would save me an hour of work. am i worth $20 an hour to myself? i think so."
