,lemmatized-post_text,lemmatized_reply_text
102974,"wife marry year combine nw consider separate property state ny combination premarital inherit fund breakdown roughly nearly retirement half retirement half cash joint cash daytoday finance combine income spending save wedding take place joint account spend joint saving home leave joint account emergency fund rebuild joint saving "" "" accessible cash cash question handle upcoming household expense new car purchase home repair wife particular intention separate money know need spend grapple fairness ask spend "" "" money joint need — especially money happen inaccessible retirement account idea come "" feel "" fair cash joint account return retirement saving well tell maybe draw sort agreement event divorce entitle normally possible simple way mention fairness stuff raise large defer financial matter frankly think fine suggest want right want feel like take advantage",marriage rhythm combine finance personal choice believe everythingmixed principle general spouse similarly financially secure divorce happen similar earn power similar family money support etc matter finance combine separate imho separateness critical vulnerable low earn potential future family financial input etc partner inherit situation think pretty important secure high earn family potential spouse actively look vulnerable spouse help inherit money separate comingle fund talk attorney get sort postnup sign comingle fund true story know woman know go divorce husband near term idea young work secure professional job parent wealthy live generous certainly leave major inheritance old move away professional job retire early year ago home kid support career inherit lot parent long go spend inheritance year subsidize lifestyle big chunk trustinherite irasetc month fill divorce convince spouse huge chunk remain inherit account pay large joint mortgage divorce bully int keep house pay value etc mentally fragile pretty take cleaner live cheap apartment old break get new boyfriend move live high hog lose respect speak ftr tell directly unselfaware realize bad look think think savvysmart exploit spouse sort exploitation obscene abuse financial trust happen marriage imho moral imperative ethical look vulnerable people life especially vulnerable commitment trust familymarriage general advice high earner sure inheritance money keep separate case potential inheritance potential inherit sure inheritance money keep separate possible thought divorce anytime recent current marital problem inheritance money separate idea high road look security inherit bit long wonderful solid marriage ve joint finance move early big inheritance year ago happy secure marriage make premature matriarch family spouse inherit significant ancestor go inherit spouse high earning capacity little spend decade year raise family run household actively support spouse career line wife work husband med school past early inheritance general treat marital largely edge financially money come go meet immediate needshousingkidsdebt repaymentetc love commit figure spouse run hussy lot big problem money lol care money nonetheless inheritance take chunk pay student loan approximately equal big chunk go marital family expensesdebtpurchase large chunk remain inherit ira technically comingle chunk spouse loan later pay bit later suggestion chunk extra marital money separate money huge number relative entire needsasset want differently money sort financial sacrifice leave money uncomingled vulnerable shoe choice money separate little inconvenient meus financial choice family money manager spouse idea ruleslawstrick clearly explain thing spouse regularly year course vulnerable spouse moneysavvy spouse imho high moral duty look spouse case hit head lose marble run assistant forget treat ex honor think exhibit
8123,current tech company year currently bored tear enjoy current plan time june pay cut work day week retire matter month take job outside current company result work fulltime approximately pay make parttime day week current position plenty available job area start wonder june submit resume couple job think shoein position experience get callback job surprise list year experience resume easily meet qualification job think company desperate employee tear stay uninspired current company reduced workweek great pay leave challenge new role work fulltime pay probably commit year work take new job concern retire company instead month plan able find job easily think able age discrimination exist tech,expense high house pay check quicken datum year move current house exclude payroll taxis ss tax retirement federalstate income taxis retirement low near zero way plan thing mortgage payment house pay car payment car pay average spending year double number mortgage wonder manage small mortgage payment year spend overall exclude payroll taxis average carmortgage payment exclude home year average breakdown maintenance property taxis insurance improvement gardener cleaning rest small stuff food year average dining grocery utility year average small water leak plugin car vs year ago pge raise rate lot continue especially solar user likely continue unfortunately year propose rate change gaselectric cable internet smartphone service water financial service term life insurance ltc insurance umbrella insurance rest small stuff like cc annual fee costco amazon prime silliness like manufacture spending electronic hobby build new high end computer half rest incremental improvement home network home theater camera gear photo printing gear car insurance registration rest small stuff bit gas drive battery electric tire small maintenance parking car forever need replacement point amortize purchase price car year annually keep car long year intend current one chevy volt chevy bolt untracked spousal spending healthcare otc leave otc copay multiple pair progressive glass premium cobra pay oahipp program total aca premium travel average pandemic flight france stay family month road trip pet cat food cat litter vaccination cat add stuff individually small break room obvious cut like financial electronic area potential thing car replacement utility go have pay healthcare premium defer home maintenance leave inflation cost let anytime soon dramatically change lifestyle see ton opportunity cost reduction obvious thing live mansion hill bay area anymore related utility cost easy say live year love house fathom live townhome hoa bad apartment food cost probably cut go way rice bean fat leave trim healthcare travel cost long ago notice industry change board term interview practice vs like work megacorp year fulltime work year place interview short list time job drop high school telephone interview maybe couple people company pay relocate france salary pretty low lose time have passport help able come look career hire folk know personally company work career tenure short month medical issue leave resume go previous employer company work connection help job job represent year year career admit bypass normal company interview process case love know company quick interview hire basically spot certainly faang far know person startup round interview founder person company talk week want round go
80597,hello fellow boglehead deliberation decide quit job later year suppose change mind certain positive change likelihood change happen low line burn make time applicationsinterview difficult reach point soon make sense parent stay home baby wife start new higherpaying management position pretty question thing believe year old actually quit job job define end datescondition lay mass rif experience knowledge current good practice email appropriate work home day day week office want tell manager person schedule tend book solid day usually team lunch feel like bit impractical benefit formality aware,interesting point actually want burn bridge employer specifically choice return later recognize get workforce prolonged absence difficult struggle previous layoff employer willing look past employment gap feel bring lot value employer build lot specialized knowledge product work think prudent preserve option return foolish rehire future assume current team product active investment area fair good assumption case stay say concern loop manager lot thing happen line end october motherinlaw currently take care baby schedule return country point need childcare line apparently current state childcare area border postapocalyptic vast majority daycare homebase reason understand nearly impossible hold call email dozen month vast majority respond refuse waitlist say book solid month year kid month old surprisingly proper center densely populate area long waitlist unpredictable availability base numerous factor struggle hire certify teacher run capacity get baby small set waitlist coin toss able care time mil leave cherry number compensation benefit vest end october employer shortsighted cut thing like rsus refresher bonus pandemic business largely benefit supply chain issue recently talk improve compensation september suppose possible surprise likelihood rsus vest october effective compensation certainly real term maybe nominal term care isolation numerous recent departure include team workload set increase substantially come month get concerned announce resignation advance want reason let benefit vest grant wash unemployment benefit take account play burning bridge thing think play safe hand employer specifically current manager history convince people resign stick long plan order smooth transition like say matter able care baby avoid excessive workload feel like work early grave guess get think probably ahead let manager know far likely want stick risk day gosh wonder fire people miserable year time job think job life satisfaction outside work improve dramatically recent year want history post feel like period year middle school mid difficult true adversity early year mental psychological scar difficult push year state mind feel compatible corporate work culture live frugal life saving invest hope retire early recently buy house have baby generally feel like thing upandup feel deep sense satisfaction happiness life kind create lovehate relationship work hand necessary afford new lifestyle hand work far favorite life right people challenge pick work response departure opportunity career advancement wage negotiation honestly point try reduce working hour stress substantially job go complete wrong direction frustrating go work delay complete fire status past early coastfi benchmark honestly kind limit right consider value need daycare potentially get parttime weekend work bring little extra income think worth
74196,try figure optimal way use credit card preamble able pay balance pay interest purchase sure consideration change possible able pay balance promotional rate run focus shove money retirement portfolio taxable account max tax advantage space card currently bofa custom cashback cash category choice online shopping grocerieswholesaler promotional rate june rate applicable purchase calendar quarter premium travel card premium traveldine promotional rate unlimited cashback unlimited promotional rate june far approach spend cash card category not additional spending traveldine premium card unlimited card point hit credit limit unlimited card coast minimum payment promotion run point pay wonder analyze value put thing cash card net cashback cash card instead premium pay june right question earn taxis money pay premium card wife apply card promotional aprwe wait clock bofa reject application get card new account short time period figure wait hit credit limit current card promotion time period promotion new card long write think probably sense purchase cash card forfeit cashback able shove money taxable brokerage account year curious thoughtsthing think essentially frontload taxable brokerage account money pay cc bill arrange stop shove taxable build cash pay card promotion run mess cash build draw heloc cover gap low interest rate sell frontloade investment,currently mortgage credit card arbitrage safe investment exactly share case helpful give additional idea post go sort long think detail matter thank bear bit net worth federal tax bracket currently state income tax liability california tenure teacher job fairly secure wife stayathome parent retirement expense cover pension wife social security begin early nocost refinance home take new year mortgage payment year point restart year term track pay home year time move home refi primarily liquidity reason provide chance money take cash home refinancing lender ask provide write reason cashout explain intend use money invest longterm loan fix itemize state taxis effective rate bit low month new mortgage loan wife open bank brokerage account money take home earn interest year primarily bonus money take home fully fund ira able take cash contribute pension hsa sort hard max long bank bonus like year new opportunity open deposit bunch bank account variety credit union pay weighted average moment ibond year buy bond year individual account business account joint trust wife purchase bond gift deliver january likely buy bond october deliver january bond currently earn soon earn rate forecast month look favorable right checking account use pay monthly bill pay interest ally bank pay right little bit money easily accessible case need replace washer dryer month example recently open credit card charge interest minimum payment time advantage interestfree loan wife open citi custom cash credit card receive bonus total earn cash month card high spending category use citi card grocery store pay interest month open discover credit card offer cash rotate category charge quarter plus give match cash earn year basically cash rotate category year maxe gas station target quarter include buy gift card target pay thing like cable bill use card exclusively merchant current rotate category quarter category restaurant paypal quarter category amazon digital wallet plan charge quarter continue minimum payment cart december promo interest rate note open chase british avio credit card recently earn mile bonus offer result new account credit score fall point recently wife plan open credit card soon bonus advantage arbitrage time interestfree loan decide pay fee transfer balance new zeropercent credit card make sense time inflation run think people consider go lowinter debt individual circumstance temperament come equation think debt averse quick dismiss chance turn debt income stream case invest market take risk money leverage gamble market go likely work favor long take risk consideration head prepare downturn payment bill come good
21774,general contractor work nonconstruction relate job consider want hear experience willing share,real life experience op union train journeyman finish carpenter foreman superintendent degree businessfinance work financebanke open subcontractor license finish carpentry company grow work gc commercial residential bc level high license strict licensing state grow grow open development companygrew open property mgt companygrewetc note op able walk talk like navy seal team lead weasel depend state area contractor license requirement state require rusty pickup truck dog state especially one union dominate high building code standard certain path gc paper contractor fellow get gc license handle sub employee know assemble home pound nail straight fine trim interior stair build spiral staircase etc like comedian rodney dangerfield respect gc walk talk talk comment opinion site work gc small outfits custom home etc gc high level grow expand sit office bid contract project management etcx forth able hire job superintendent project general work non construction relate job construction experience tangible worthwhile road real licensed general contractor time time basis go rough maybe end handyman van try try project bid use subcontractor take skim iffy level licensure depend state pretty vague zero standard enforcement contractor fly place high level gc licensure example abc gc license include general engineering structural etc unlimited subcontractor supervision folk build new york city san francisco high rise important factor thing mind gc construction endeavor business business skill acuman savvy education deep pocket business ground ton carpenter tradespeople try ground contractor subcontractor fail miserably matter fantastic tradesperson great carpenter matter acceptable tradesman outstanding business person quesion op give interested open business employer business owner instead employee regular hour steady paycheck solid career predictable work structure able work predictable paycheck predictable hour sleep pay vacation sick leave deep pocket invest business write thorough business plan book read construction blueprint spec draw construction blueprint design work scratch write spec scratch know bid construction project boot work belt suit load work construction crew lead crew focused work subconstractor head company thi crew site gc like symphony conductor coordinate lot move part right rhythm timing etc note effective gc large jobsite unique person thing think actionably forum guide lock law op business construction general contractor like personal business generate income stream like employee employee strongly consider invest profit low cost index fund portfolio earn create solid financial foundation personal business owner income stream business vs employee difference earn dollar invest bogle portfolio dis laimer zillion path option opinionization comment base experience experience zillion folk op hope helpful j
26966,go buy house like buy summer payment cash emergency fund selfemploye preapprove local lender kind give rate loan sort roundabout way ask tell need house address weird preapprove well dot com recently read horror story weird thing preapprove house buy house worth plan buy house submit kind documentation whatsoever apply loan local credit union currently bank ask year taxis pl spread sheet bank statement etc wait preapprove point preapprove local lender preapprove ally bank saving account year far preapprove lender wait ally banking preapprove question decide lenderbroker broker right term loan difference yr mortgage feel like afford yr mortgage lot day single day have difficulty kind draw blank think couple question think advice own property feel like ready want house,  good real estate attorney handle closing worth money onus buyer want correctly good inspector think subinspector eg roofer plumber environmental advice experience let radon monitoring device people go inspection sure thing quiet window door shut etc monitoring time use good radon monitoring company install continuous monitoring device pump hour perfect seasonal quick point well radon remediation expensive let bother neglect have experience use termite inspector house inspector use find proposal hire termite inspector independently write report consider get party proposal come understand home inspector require independent create contracting work make proposal repair need termite inspector exactly pay lot inspection inspector hell go caveat report need subinspector home roofer charge inspection write reportestimate want civil engineer mind primarily talk structural engineer verbal report low price write report high price need probably need civil engineer inspector see look youself look water mark basement wall example yes look flood plain map google search environmental hazard house downwind create odor wastewater treatment plant composter proper odor control count real estate agent buyer seller dig thing large prefer plausible deniability large usually work hard easy job sell lot house study owner disclosure form carefully want honesty check not know andor sell house forget prepare pay inspection worth experience wary buy home downhill rain pour water head house want rain water collect gutter route away house drainage problem home build correctly proper subsurface drainage feature etc augment need default duediligence inspection etc number blank instead default day week say time inspector etc standard form real estate industry benefit consider pay inspection make offer real estate agent find need follow eg mold need testing environmental company extend diligence period mutual agreement good agent happen seller honest mind remember come inspection reveal potential buyer seller good interest hone potential problem address directly repair take money home price closing buyer seller honest ok balk wary experience back purchase diligence period base inspection civil engineer report submit withdrawal form seller report refuse sign pa seller place sign keep earnest money limbo luckily hold escrow real estate attorney glad keep minimum take small claim court seller attorney family lose paperwork crystal clear appeal decision court foodchain well wait statute limitation actually probably bring mind piece advice save people lot effort consternation advice look owner county tax record crosscheck owner county court record stuff come people life seller involve boatload civil litigation especially concern property matter need sure dot t cross offer live litigious society
43510,hi insight greatly appreciate pick medigap provider situation get medicare b time medigap guarantee underwrite concern update fyi yes want medigap soon possible mainly case covid particular get d prescription coverage soon possible case covid particular avoid late penalty totally healthy prescription check prescription covid patient price d topic post pick d provider state provide ability switch medigap guarantee time like ny decision probably long term commitment try wellinformed decision think want plan g high deductible hd maybe regular plan g main challenge pick plan g ghd insurance company read boglehead medigap topic post contact insurance brokersagent know boomerbenefitscom people mention find read book maximize medicare medicare dummy welcome medicare know state ship help data state dept insurance medigap rate datum rating niac datum serff datum start use datum comparison purpose know policy pricing rate category attainedagerate issuedagerate communityrated httpswwwmedicaregovsupplementsot ppolicie unfortunately state company offer attain age pricing plan ghd httpswwwmedicaregovmedigapsupple langen preserve privacy link zipcode pick datum zipcode share safely company offer pricing plan g policy nonhd issueagerate pricing communityrate pricing httpswwwmedicaregovmedigapsupple langen preserve privacy link zipcode pick datum zipcode share safely picture rate datum age state website get httpswwwstatenjushumanservicesd pdf find historical datum archiveorg httpswebarchiveorgweb pdf httpswebarchiveorgweb pdf company offer plan g plan g high deductible sort ghd company plan g ghd sort plan g start look individual company provide datum available picture amerihealth rate g ghd plan ignore look mainly datum show try historical datum state provide find datum archiveorg mention try look data resource people mention post easy company rate datum realize historical datum guarantee future trend help company behave time look consumer review site medigap company luck realize plan g ghds mainly concerned find company reliable tend low rate realize agentbroker access database provide datum want probably contact soon provide eventually probably pick low cost plan ghd company rule bad review bad historical trend insight pick reliable medigap company base datum consumer review greatly appreciate,welcome totally new medicare medigap kind post think decision process loud sense boglehead question suggestion help think informed decision question think think short answer ghd send payment medical provider medigap plan deductible pay like pay b deductible plan g ghd pay process ghd probably want track contribution sure ask pay detailed answer medical provider accept medicare require send claim medicare medicare approve reject claim medicare pay approve claim tell pay medigap plan deductible question depend year involve whatif scenario analysis like modifiedduration explain plan g scenario calculate plan g premium cost year plan ghd scenario assume have major chronic problem year last calendar year span calendar year calculate plan ghd premium cost year plus assume year bill exceed plan ghd deductible add inflation ghd deductible year compare ghd result g premium calculation result have ghd save slightly money g person exceed scenario ghd save money course simple scenario analysis detail add well view possibility note think important consideration chronic condition well d coverage prescription overall medical cost study person get plan ghd use money save premium well d coverage course nice thing d coverage community rate change plan fall annual enrollment d httpswwwaarporghealthmedicarein menthtml get topic g vs ghd key medical problem extend continuously year andor medical problem overlap year time overall people guess ghd probably well bet think people save money low premium overall year pay deductible think g premium rate steep rate ghd true maybe benefit ghd g great g rate raise fast ghd rate plan deductible case ghd save money g premium go high model scenario question look aarpuhc carefully different aarpuhc medigap market share state accord naicorg loss ratio report high count policy holder risk low theoretically aarpuhc able high profit offer low rate unusual thing aarpuhc community rate take effect age nj state rate flat different age discount community rate builtin guarantee rate increase curve flatten negative thing rate increase curve flatten positive thing increase gradual maybe check rate history trend overall unusual setup create cost modeling aarpuhc policy want g offer ghd live plus aarp membership policy sure policy official group policy tend doubt aarpuhc policy true group policy medigap policy group policy law aarpuhc provide refund loss ratio detailed rule complicated explain medigap policy normal individual policy law aarpuhc provide refund loss ratio detailed rule complicated explain unfortunately aarpuhc offer ghd state consider aarpuhc research calculation case right forgive typo edit correction naicorg
112913,spouse disinterested financial planning investment handle whatwherehow investment issue diy person good health worry manage finance die incapacitate highly uncomfortable thing like investment rmds tax return planning tax loss harvesting mind start step like simplify somewhat investment combine ira uncomfortable talk handle thing survive write detailed information investment account roadmap plan consolidate investment firm vanguard consider fidelity schwab appreciate thought thing little easy example consolidate vanguard leave instruction set pas certainly well option,"survive spouse poa elderly family member active financial affair spouse illness start year passing disconnected life concern realize need start take action peace mind lessen burden reduce brain bandwidth stressor consolidate account vanguard account current retirement stop work employee retirement rollover fidelity solo k vanguard offer set bank account chase high interest rate fidelity etc chase interest rate manageable second prepaid mortgage add payment evident time accelerated prepayment reduce yr year ironically mortgage pay medical crisis ensue follow year take care household expense task equipment reach end useful life register vanguard pas keen need focus thing year remain pas foresee discontinue problem yo mom finance able great assistance vanguard account etc pas access hire accountant taxis take turbo tax know import vanguard bank etc decide cpa fee worth especially important death cpa take care need state etc maintain relationship deplete trust revocable trust stipulate wide latitude wellbeing withdraw annual salary deposit trust account trust say payment year oops speak attorney say goof worry interested party challenge management trust potential interested party clueless existence trust discuss spouse detail trust withdraw fund etc trust write year early throw filing cabinet need deal retirement account roll discuss cost basis select explain account roll explain rollover take lump sum etc husband stop work rollover tiaacref acct cooperative bit tell check mail process etc phone call month escalate check send day death certificate important request costco want remove dhs account institution need hardcopy ask return sticky note certificate work carry year social security husband wait work start take reduced social security collect survivor benefit month clear social security plan lot misinformation friendsrelatives kind wrong thing operative word survivor benefit spousal etc spouse affair spouse need time come start process difficult savvy matter difficult try seamless brother whenif necessary find pipe dream learn trust account vanguard need additional paperwork allow access authorized access trust account issue check poa good able banking live nearby keen give key kingdom trust implicitly want account balance private meantime approach paperwork access check address tell pas need money care etc spouse medical husband help need advocate unable write list want dodge medically transport duke highly rank university hospital care want rehab necessary home care option etc know advocate husband upset try guide brother friend follow hire medical advocate look likely tell brother bring "" consultant "" need overwhelmed list possible provider husband feel need ie independent tell unequivocally wrong wrong"
27706,thank help move ira ira nwm schwab ask daughter life insurance suggest get inforce illustration understand insight grandma buy daughter great granddaughter life insurance policy bear bc nephew get start waddell reed like want support totally prey move tell policy know surrender rebuy hello commission move nwm policy nwm surrender rebuy commission find die prepay number year premium personal pocket carrier nwm policy life policy adjustable term protection issue date march issue age female modify endowment policy year initial total insurance annual premium need pay death adjustable complife base adjustable term protection adjustable term protection period end extend age payment appropriate premium current contract premium annual base adj term prot disability waiver premium include mind pay premium feel like give burden benefit feel like aprox surrender value add annual premium year like voo vti daughter well policyholder come gift like grow taxfree likely make max roth roth daughter currently sophomore college ty likely appreciate suggestion insight saddle beneficial longterm thank,case nephew hog commission tell blended policy aggressively blended policy straight life policy blend policy cut commission agent result high cash value performance likely nephew ballpark contract year entire period specific contract issue definition predatory puzzle nephew keep move policy second annual premium need pay death illustrate premium include base premium rider paidup addition post require premium death despite good effort nwm poor middling performance respect life policy blended policy calculate internal rate return find leave eoy cash value policy adding year year result irr policy past year time forwardlooking irr high range rate policy dear daughter thing relevant evaluate tax treatment life insurance policy unlike treasury bond cd cash value growth life insurance policy tax year policy hold insured life end policy value tax policy surrender interim tax gain policy mean surrender time specifically lowincome year unlike fix income alternative comparable treasury bond range right well taxadjusted yield depend tax situation lead key item policy tax basis tax basis sum premium pay policyif cover year nwm taxable basis go tell taxis surrender today likely policy small gain note riskreward tradeoff suggest alternative voovti policy entirely different nwm life policy fix income alternative safety zone treasury bond cd key question ask return well bad voovti desire asset allocation especially light financial circumstance point insure life daughter owner asset word think nice gift daughter investment stock outright owner policy completely legal action stock daughter hold asset fix income alternative like idea pay daughter contribution roth ira allow advantage compound growth use opportunity lowearne year save note need earn income entitle contribution accounteven gift money contribution roth ira contribution april follow year note policy small money interested try use overall financial picture attract yield large flexible matter savings vehicle daughter want transfer policy daughter learn use life insurance policy advance take moresomethe daughter probably care probably worth learn use feature maintenance old domestic car standard transmission drive lexus automatic transmission day overall like idea money grandmother benefit daughter note premium date use policy pay premium pick path identify significant expense pay couple year like college major trip car etc use fund clear explanation daughter source fund second tell daughter want use fund explain source start longterm saving roth ira significant tax benefit lose year need set account tell taxable earning previous year taxis deposit ask specific number w able policy value roth ira year surrender policy convenient wait premium
65954,hi recently hire licensed contractor divide bathroom half create new small bathroom month completion notice small area hardwood floor hallway outside large new bath exactly adjacent new shower warp cup suspecting water damage immediately remove baseboard area see dampness drywall subfloor visible small gap hardwood wall green fuzzy mold spongy drywall immediately stop shower let contractor know contractor helper helper person work bathroom come test let area completely dry day test involve run water drain fill pan depth leave contractor leave hour area outside totally dry time hour notice wetness area call come house cut small area drywall water seep wall footer contractor satisfied previous test ask allow area dry completely come test time fill pan water wait hour waiting water outside spray shower run water drain like time hour test main guy leave helper stay area completely dry time helper see water come subfloor contractor come right see contractor ask come senior guy start diagnose spend couple hour nondestructively poke point think right track bring resolution amicably send email demand know bathroom time go clear email imply lie try deceive know actually feel deceive tactic contractor completely stuck issue fact enter bathroom go spray water shower wall drain pan respond recall helper observe time ask plan step resolution keep come idea deception honesty reaske question point clear matter certainly spray water shower drain people normally actually confirm leak fact clear water shower hour later come floor good bet resolve try work contractor exchange responsive email content fix leak want know ask helper spray water shower go know liar big trouble email invite come test stay thing remain doubt go file complaint state construction board probably regardless likely process focus encourage people work tooth compel fix give happen comfortable fix problem stay record sue small claim court sure tooth exactly need advance need bid contractor hire attorney file proper lawsuit sure win go court know expect cost recover legal fee sure eg countersue appeal drag long time lot legal cost finally forget pay contractor fix issue life feel like simultaneously rational choice satisfy contractor behave poorly mind spend lot money long cost lot money advice,op note question let option base go deal initial project quote quote reputable licensed contractor verify contractor license centeretc contractor legit choose contractor kind contractor person plumb tile masonry general contractor carpentry repair sub handyman jack trade claim contractor contractor entire project soup dessert initial tear demo clean reframe greenboard install plumbing redirect install shower pan install tile grout etc shower pan fiberglas wall ceramic stone grout show floor raise edge ceramicstone flooring pour shape cement mortar base membrane beneath etc picture entire project begin end stage likely small contractorloose term money time redo entire shower shower pan failure andor wall especially corner vertical wall edge wall shower pan joint overlap correctly failure continue fail redo completely option time concurently result orient want result conversation banter want result nice guy etc type conversation recap incident report time meet contractor file print print email text contact copy receipt contract invoice paperwork file chronological list happen say promise build material deliver etc print file think picture file moment stop communication contractor vocally write text email et al file legal counsel consultation asap tommorow week time essence note go professional advice moment b bad thing get professional advice op c go legal counsel mean go lawsuit small claim court bad thing like tv go huge hassle cost time money mean get professional advice professional waste time money want tangible result d legal counsel send letter contractor hishertheir letterhead mean take seriously vs talk banter forth game changer like customer contractor deal string like car salesman bad car lot customer give time pass long etc etc go cost fortune legal consultation pay professional advice time visit decide step base seek legal counsel step unlike movie tv myth like go doctor seek professional advice thing late game ve obviously exhaust communication measure person repeat expect different result futile legal counsel recommend get quote site visit real reputable plumbing contractor fix wait advice different different experience exact situation right work wrong unknown write demand letter etc deadline crux matter like bully sandbox school go forth friend grade grade big nice guy come sit sandbox bully like point long technical problem money problem human problem op post negative review online call contractor license center etc sit talking mouse clicking go point op hope helpful j dis laimer zillion way thing opionionization pcd onion input base nil zero extensive personal professional experience
127295,post inspire recent forum post viewtopicphpft past thread show people firmly entrench multiple camp question treat finance spouse question moral religious implication intend cover topic look practical question offer thought subject sharing finance share conversation number goal share actual account joint account good signal togetherness necessary fully share finance obvious example couple taxadvantage investment single joint account law maybe checking account believe trip lot people question share finance people advocate separate physical account actual disconnection financial objective promote iseparate finance matter chocolate vanilla preference share finance well share categorically well share plan mutual understanding household balance sheet expense income future plan major expenditure couple know information disadvantage planning person miss information know create well use share money hide debt prominent example simple thing like optimize investment allocation perfect information sharing couple large income imbalance example working spouse stayathome spouse good justification avoid share finance mutual agreement couple facilitate share benefit state case aware rightly treat marital income asset joint property couple simple mental accounting treat income asset ownership divorce court set straight point onceinalifetime liquidity event immediately place share account spouse earn money little bit help year lead event sure consider prenuptial agreement wonderful option couple enter marriage large net worth imbalance look think have agreement case couple life well high net worth spouse fear lose lot previously earn money go wrong hope help provide perspective topic good fodder discussion,fall firmly camp share finance like point necessarily mutually exclusive individual account time wife use joint account possible frequently case order double bonus reward promotional incentive etc need separate account result open numerous individual account bonus benefit attain continue joint account go forward example individualjoint account necessarily imply philosophy obvious example international banking case multinational family naturalborn citizen wife naturalborn chinese citizen get married longdistance couple year trivial way joint account banking legislation country hear tale separate finance work couple somewhat skeptical personal friendfamily network separate finance single good predictor divorce long shot correlation realize anecdotal base particularly large sample size think important remember oftenquoted divorce rate usually advance estimate current marriage go forward oppose actual statistic past divorce time prove real divorce rate particular demographic important thing note current marriage succeed long term bit misleading point current marriage evidence succeed long run bit like select soccer game start minute say vast majority soccer game tie look way base current selection expect game tie end intuitive reason poor anecdotal experience evidence sure point currently marry couple separate finance well single big benefit share finance marriage obfuscate notion monetary debt spouse feel like marriage complicate stress keep score come spend couple particularly baffle cousin girlfriend fair married live year naturally introduce marriagelike dynamic relationship cousin phd student stanford girlfriend lowwage service worker degree way able afford apartment comparable grad student housing campus cover combination workstudy program scholarship fund go dinner extremely adamant turn split bill understand independent financial equal big expense housing entirely dependent honestly end day think try financial equal miss point relationship loan pay love sense relationship people care life well think perfectly reasonable romantic relationship somebody money share interest great parent child separate finance feel like mortgage amortization schedule leave money spouse event early death technically unfair unearned sense care family take care want thing think die wife contribute realize sound totally hyperbolic couple use individual account relatively modest discretionary spending help think separate tracking bubble surface future argument like hey spend shoe year unilaterally send kid expensive school approval joint account generally possibility separate expense person transaction implicit approval spouse great context union matter wife spend shoe happen account okay time need come sensible decision college expense brine old history leverage course excuse wife spend shoe today approve begin discuss mean hold later spending spending husband perfectly happy happiness comfort budget
29380,curious understand extent tlh tax loss harvesting provide performance advantage long term investor simple crude example let portfolio stock find appropriate tlh pair portfolio comprise cvx vz tgt tlh pair comprise xom t wmt experience stock tend market market particularly samesimilar industry stock trade narrow range buy cvx vz tgt jan thing simple share cost year progress bearish direction june cvx oil business rise energy bullish period tgt fall retail business vz stay narrow range fall crude simplistic example sell tgt feb realize loss buy wmt fall tandem apr sell wmt realize loss buy tgt june sell tgt realize loss buy wmt total realize loss tlh course instead intermediate transaction wait june sell original tgt share realize loss transaction require crystal ball predict movement tgt share meantime cvx rise continuously period end gain june vz trade narrow range probably cumbersome try time switch vz t trade narrow range crude fictional example course argue short term capital loss incur tgt trade eventually offset long term capital gain stock assume eventually sell stock gain future gain wmt assume bounce basis let wmt rise late sell realize gain gain offset tlh loss realize buy wmt originally instead tgt hold ltcg intermediate transaction plus collect dividend way sure probably numerous example concoct support give position admit occasionally sell loser position offset gain give year problem long term investor like eventually poorly perform position positive own ba boeing share long time horrendous downturn past year start max problem nonetheless ba position positive own long time bher invest index fund fund positive own year unusually long bear market purchase voo vti jan positive possibility tlh make wonder post forum tlh typical bh index investor,naively taxloss harvesting provide advantage simply reset basis valuable asset appreciate time buy spy share drop sell loss buy vti replace asset basis asset basis receive tax benefit loss today year future imagine vti spy double level share worth sell vti realize gain investment pay taxis leave money spy gain basis taxis low taxloss harvesting realize loss early pay taxis later matter naive view wrong factor early realization loss valuable later tax cost time value money element recognize loss example assume capital gain tax rate applie gain loss offset rate assumption taxloss harvesting give loan federal government repay sale asset later interest loan invest stock double pretax basis period instead grow time period grow assume relevant period year instead bps difference aftertax basis figure grow instead year instead bps difference note example exist capital loss offset realize capital gain second achievable opportunity earn arbitrage different tax rate limited scale longterm capital gain available capital loss offset shortterm capital gain tax ordinary income rate strictly speak longterm capital loss offset longterm capital gain shortterm capital loss offset shortterm gain net offset capital gain available capital loss offset ordinary income mean loan mention large repay future rate event extra invest grow pretax basis cumulative growth tax grow instead annual growth rate aftertax basis bps great scenario bps great strong possibility capital gain taxis pay note capital gain taxis pay capital asset donate owner pass away leave asset heir basis equal fair market value time pass stepup basis case value available realize incur taxis investor need pay longterm capital gain tax income deduction fall longterm capital gain bracket married couple income gain realize tax liability offset standard deduction fall qdltcg bracket remember include basis married couple sell asset taxis liquidity obtain margin loan conservative level defer realize capital gain mean loan describe repay grow compare grow taxloss harvesting occur assume capital gain tax permanently avoid gain bps summarize taxloss harvesting well free money bad interestfree loan repay distant future execute reasonably add value completely offset tax cost hold stock taxable brokerage account retirement account question index investor taxloss harvest remember large number boglehead forum member continue accumulate fund prime work year recently invest new money dividendinterest payment rebalance stock volatility taxloss harvesting bond fund obviously share accumulate large gain loss available point thread include discussion specifically identify tax lot separate recent purchase old purchase lot gain
