,post_text,reply_text
28,realize lot boglehead invest philosophy believe core principal overall stock market index rise time produce x annual return average history show true us stock market japan never return lowinter rate economy last 20 + year equity either stay depressed rise much year would well use market time strategiesactive trading strategy find exploit value flat get lucky,think crux broadly diversify low cost long term invest essentially optimistic bet long run worldeconomy grow alternative hold cash lose inflation maybe hold commodity buy tangible asset hoard use start business
29,realize lot boglehead invest philosophy believe core principal overall stock market index rise time produce x annual return average history show true us stock market japan never return lowinter rate economy last 20 + year equity either stay depressed rise much year would well use market time strategiesactive trading strategy find exploit value flat get lucky,also lot opposite especially late overreaction bias cheer
30,realize lot boglehead invest philosophy believe core principal overall stock market index rise time produce x annual return average history show true us stock market japan never return lowinter rate economy last 20 + year equity either stay depressed rise much year would well use market time strategiesactive trading strategy find exploit value flat get lucky,last two sentence would kindof contradict first privatebuyer willing pay premium price business public market offer company go private demand public equity market offer premium price multiple business go public relative private equity go way sometimes big business break sell individual small business premium sometimes big business use premium valuation use equity acquiremerge low value business one way another investment bank make business churn churn churn would worry public equity market disappear
31,realize lot boglehead invest philosophy believe core principal overall stock market index rise time produce x annual return average history show true us stock market japan never return lowinter rate economy last 20 + year equity either stay depressed rise much year would well use market time strategiesactive trading strategy find exploit value flat get lucky,thought must take risk order potentially get return riskfree rate everybody decide much take implement diversify inexpensive manner longterm plan
32,realize lot boglehead invest philosophy believe core principal overall stock market index rise time produce x annual return average history show true us stock market japan never return lowinter rate economy last 20 + year equity either stay depressed rise much year would well use market time strategiesactive trading strategy find exploit value flat get lucky,suspect right equity market stick around
33,realize lot boglehead invest philosophy believe core principal overall stock market index rise time produce x annual return average history show true us stock market japan never return lowinter rate economy last 20 + year equity either stay depressed rise much year would well use market time strategiesactive trading strategy find exploit value flat get lucky,count make fun bogleheadism fail hopefully plan b retirement trailer house wifi
34,realize lot boglehead invest philosophy believe core principal overall stock market index rise time produce x annual return average history show true us stock market japan never return lowinter rate economy last 20 + year equity either stay depressed rise much year would well use market time strategiesactive trading strategy find exploit value flat get lucky,think basic principle get market return everyone else anyway might well save investment fee
35,realize lot boglehead invest philosophy believe core principal overall stock market index rise time produce x annual return average history show true us stock market japan never return lowinter rate economy last 20 + year equity either stay depressed rise much year would well use market time strategiesactive trading strategy find exploit value flat get lucky,mischaracterization opposite true ie predict future try ignore claim predict future lucky unlucky equal frequency timing increase expect return still take risk wrong uncompensated risk increase expect return compensate risk wrong
36,realize lot boglehead invest philosophy believe core principal overall stock market index rise time produce x annual return average history show true us stock market japan never return lowinter rate economy last 20 + year equity either stay depressed rise much year would well use market time strategiesactive trading strategy find exploit value flat get lucky,ooohh ladida plan b include internet planning go library stay warm use internet mock boglehead
37,realize lot boglehead invest philosophy believe core principal overall stock market index rise time produce x annual return average history show true us stock market japan never return lowinter rate economy last 20 + year equity either stay depressed rise much year would well use market time strategiesactive trading strategy find exploit value flat get lucky,graph site nothing like site promote gold project national debt future
38,realize lot boglehead invest philosophy believe core principal overall stock market index rise time produce x annual return average history show true us stock market japan never return lowinter rate economy last 20 + year equity either stay depressed rise much year would well use market time strategiesactive trading strategy find exploit value flat get lucky,interpret quip literally probably miss point extent suggest may comment around hubris humility since everyone end wrong time area laugh label true follow questionable likely someone carry bogle folly fit comment take verbatim dvn1ikkgnn
39,realize lot boglehead invest philosophy believe core principal overall stock market index rise time produce x annual return average history show true us stock market japan never return lowinter rate economy last 20 + year equity either stay depressed rise much year would well use market time strategiesactive trading strategy find exploit value flat get lucky,think fail absent armageddon thing worry big risk think full recovery take much much long one expect retirement need worry would mostly bond cash anyway despite haircut year bnd would derail plan much
40,realize lot boglehead invest philosophy believe core principal overall stock market index rise time produce x annual return average history show true us stock market japan never return lowinter rate economy last 20 + year equity either stay depressed rise much year would well use market time strategiesactive trading strategy find exploit value flat get lucky,well say
41,realize lot boglehead invest philosophy believe core principal overall stock market index rise time produce x annual return average history show true us stock market japan never return lowinter rate economy last 20 + year equity either stay depressed rise much year would well use market time strategiesactive trading strategy find exploit value flat get lucky,nobody know nothing probably least favorite bogleism variety reason one despite contextual intent verbiage imply everybody know something
42,realize lot boglehead invest philosophy believe core principal overall stock market index rise time produce x annual return average history show true us stock market japan never return lowinter rate economy last 20 + year equity either stay depressed rise much year would well use market time strategiesactive trading strategy find exploit value flat get lucky,northern flickr nothing like ad hominem argument late debt projection dexhtml
43,realize lot boglehead invest philosophy believe core principal overall stock market index rise time produce x annual return average history show true us stock market japan never return lowinter rate economy last 20 + year equity either stay depressed rise much year would well use market time strategiesactive trading strategy find exploit value flat get lucky,bright side year high inflation reduce debt real term hand go spend lot healthcare age population decade come
44,realize lot boglehead invest philosophy believe core principal overall stock market index rise time produce x annual return average history show true us stock market japan never return lowinter rate economy last 20 + year equity either stay depressed rise much year would well use market time strategiesactive trading strategy find exploit value flat get lucky,yes debt concern change fact gold dealer vest interest present alarmist way possible
45,realize lot boglehead invest philosophy believe core principal overall stock market index rise time produce x annual return average history show true us stock market japan never return lowinter rate economy last 20 + year equity either stay depressed rise much year would well use market time strategiesactive trading strategy find exploit value flat get lucky,strummer also go spend lot interest debt trillion debt every one percent basis point increase average interest rate increase interest cost billion per year
46,realize lot boglehead invest philosophy believe core principal overall stock market index rise time produce x annual return average history show true us stock market japan never return lowinter rate economy last 20 + year equity either stay depressed rise much year would well use market time strategiesactive trading strategy find exploit value flat get lucky,never think point boglehead way guarantee win stock pick little different gambling buying market guarantee least average return japan would able pick stock would win countless one would lose
47,realize lot boglehead invest philosophy believe core principal overall stock market index rise time produce x annual return average history show true us stock market japan never return lowinter rate economy last 20 + year equity either stay depressed rise much year would well use market time strategiesactive trading strategy find exploit value flat get lucky,could borrow print money cover interest thus solve problem forever trillion federal debt feed balance sheet
48,realize lot boglehead invest philosophy believe core principal overall stock market index rise time produce x annual return average history show true us stock market japan never return lowinter rate economy last 20 + year equity either stay depressed rise much year would well use market time strategiesactive trading strategy find exploit value flat get lucky,borrow get expensive print anymore perhaps tax man cometh illuminati figure squirrel collect acorn
49,realize lot boglehead invest philosophy believe core principal overall stock market index rise time produce x annual return average history show true us stock market japan never return lowinter rate economy last 20 + year equity either stay depressed rise much year would well use market time strategiesactive trading strategy find exploit value flat get lucky,percentage real return cutoff work fail lot variable equity bond return one one control focus one control full partial control saving rate lifestyle creep current future income ability work health focus
