,Question_Processed,Answer_Processed
10,net worth,net worth around million reason write anonymous year old entrepreneur investor found two successful startup college currently work two startup raise good amount money launch product india well know vc firm manage several business keep busy time also start invest early stage tech startup invest startup till whenever get time many thing discuss idea strategy aspire entrepreneur student love read book help boost knowledge confidence till read business book sometimes go speak entrepreneurship life technology advancement university love cook food family friend least time week live big house drive expensive car instead live rent house somewhere delhi travel cab metro need kickass team nice office family else need nothing learn work visit profile rajnish prajapat
11,co worker ever try hide wealth poverty work happen,college work big box store job inventory also surveillance work since could sale floor plain clothe log inventory one day see co worker shopping day teenage son obvious much spend son go coupon hear tell son several occasion put certain item back coupon enough money stay unnoticed continued work later see cashier line say hi time noticed buy essential item pay mostly coin apologize mention next day work somehow end talk cost certain bill time disclose rarely make enough pay bill sometimes use change son piggy bank buy essential grocery think really sad since college time work living parent home essentially rent free christma come around anonymously put christmas card contain gift card store work work mailbox never tell grin ear ear day glad able help even though much later learn thought store hand bonus everyone receive gift card
12,become rich without become entrepreneur,let play monopoly answer question remember famous board game image source win game make every player bankrupt correct player hotel house across board always win game rule apply life — how become rich without own business own asset wealth originate asset — high pay job save money bank work hard cash flow asset next time play monopoly prove lesson fun test every player play rule — except start game time cash player can not buy property try tell win game … prove monopoly game ask play game life working make money create wealth
13,expensive item without tell parent expensive,samsung galaxy note ultra 5 g worth rupee lakh father ask much cost reply — dad waah yaar phone badiya lag raha h kitney ka liya wow nice phone much cost papa second hand liya hai hazar mil gaya aa shayad mehenga raha hoga dad second hand phone get 14k new might little expensive dad — acchaa sahi mil gaya itney koi aisa phone dobara aaye mujhey bhi batana ok great deal let know next time something like come edit — whooaah never expect answer would 22k+ view count come comment moral police advise clearly wastage money invest money give needy either earn 20k lac case earn much trading buy phone show let clear thing talk earning — full time salesforce developer basically niche technology work morning time give session salesforce data visualization use ea many online learn platform like mindmajix gologica easily purchase phone giving session let come freelance work android salesforce project go supervision make assumption earn yeah let remind one thing really feel job pay good amount must passionate work job wastage money buy something love admire alot afford wastage money type guy buy new phone every year even every two year buy new phone almost year yes read right phone first phone solve many problem use face early write stylus convert pdf camera come close zoom capability plus quality photo amazing talk one plus bad camera flagship phone secondly fan hardware piece beauty worth money may great camera size screen quality screen feel hand samsung dex year software update promise samsung last least make pick phone current android project work similar docusign device help we alot iphone pro pay much amount need late feature present device iphone lack display finger print curve super amole screen hdr zoom capability screen size stylus dozen thing iphone far behind term feature give needy thing almighty want brag give valuable advice good thing advice base many assumption clearly need inculcate word edit — wow 130k+ view 2k+upvote huge whoever ask profession salesforce einstein analytic data visualization directly pe discussion definitely edit view cruise 200k cheer please check another answer sameer mirza · 1y expensive item ever buy hyundai venue sx imt expensive thing buy independently let tell one thing first time entire family consist 250–300 people anybody buy brand new car yeah moment proud parent relative well make fit car still try fit 2–3 people extra car whenever go somewhere soon everybody experience feel cruise brand new suv yeah big thing we people criticize alot choice go tata mahindra instead satisfied purchase talking reason pick hyundai tata mahindra look venue attract compare nexon xuv300 know subjective far well sale service hyundai compare tata mahindra worst do nt believe ask owner go owner experience youtube well coverage service center hyundai well return value hyundai car hyundai maruti suzuki car value do nt broke totally oppositein case tata mahindra verify go olx use car app get know low maintenance compare mahindra interior venue well say well nexon xuv300 well availability spare part although nexon xuv300 great product every aspect well good thing nexon mahindra pro deal breaker that s pick venue totally satisfied purchase hope people bash time like last answer buy expensive phone making ton assumption time choice criticism always welcome go last answer please visit thank read
14,sue someone million dollar money money come,easy get money win lawsuit court issue judgment get money nobody hand check collect know person sue bank account may able go bank judgment hand give bank account number put freeze account know real estate might able put lien point win lawsuit mean someone hand million dollar million dollar get million dollar maybe might able get something maybe might able garnish wage hand million dollar
15,true joe biden plan increase property taxis impose rent control law make difficult real estate investor,2–3 time week question like one float though quora feed clearly conservative stupid however sometimes hard shake idea people perhaps median native intelligence might tend skew conservative federal property tax joe biden raise property taxis federal property tax president say control property taxis property taxis local federal rent control rent control law set president federal rent control law rent control local federal someone tell joe biden raise property taxis pass rent control law person think idiot believe may right
16,wealthy buy bugatti chiron,obnoxious category wealth cousin smog business suburb los angele lot time get see jay leno pull shop car smogge always treat see however got see chiron import transport large rectangular container latch onto special car shop smogge complain get turn hear roar cool purple color chiron special car hard say bugatti special car understand chiron owner near los angele area owner tell qatar give gargantuan expense involve transport thing across planet transport rig smog shop go serious financial hurdle get one thing able afford one price bit million able pay thing could easily double cost thing guess person home look like would shy away guess also cost around million would make think net worth hundred million dollar know even million buy cup holder guy go get starbuck find video car take trailer
17,child wealthy family feel parent wealth proud embarrassed,family wealthy famous parent wealth everyone know live large house maryland president royal come visit child away school england use fly home maryland vacation christma summer etc would often take friend one england hear chef boyardee internet cell phone camera friend drive home airport always intimidate would never get old someone ask ' how pronounce name ' would reply ' pronounce boy ar dee like chef people would ask ' any relation ' would say yes grandfather treat like american royalty without need show parent generous could would go host dinner gala charity function able spend donate lot money see obligation knowing mean make feel good internet boom technology revolution create hundred multi millionaire time people know million dollar like jeff bezo today never ashamed parent wealth often ashame people like kid parent grow rich lot benefit lot drawback one thing never seem change wealthy family jealousy bitterness resentment within father marry twice child wive new wife mother treat like spoil little child thankful cause lot mental issue throughout grow lot stress marital abuse become child abuse live horrible people matter big bank account always proud generosity society parent know great thing however lot learn parent respect normal people
18,infamous woman commit crime order get rich like db cooper,know tiffany cole infamous crime commit order get rich one horrific ever hear tiffany cole bear south carolina single father lot health problem teenager tiffany take wing neighbor reggie carol sumner couple 50 treat tiffany like one child sumner put home south carolina sale retire jacksonville florida tiffany visit often purchase car would drive home make payment one visit accompany new boyfriend michael jame jackson carol reggie happen mention closed sale south carolina home make profit thrill money would help remain comfortable retirement soon tiffany michael hear decide go get hand money enlist help two man alan wade bruce nixon help carry robbery sumner wade nixon show sumner home state car break ask use phone carol helpful welcome person agree — tiffany tell wade nixon would base type person know carol inside two man bind gag couple chronic health issue physically frail proceed ransack home done stuff carol reggie trunk couple car drive remote area across state line georgia grave pre dig sumner cry plead force grave four kidnapper demand banking information pin number etc point would see tiffany woman treat like family involve imagine heartbreak sense betrayal must feel information want wade nixon proceed bury carol reggie alive shovelful shovelful fill grave even completely pack four could hear sound couple die coroner report state dirt find sumner nose mouth throat lung stomach one agonizing death imaginable kill sumner tiffany other go spend spree photo tiffany michael celebrate shortly murder bruce nixon one confess police lead sumner grave return spare death penalty sentence year three receive death sentence florida supreme court order new trial three original jury unanimously recommend death penalty still currently await new trial tiffany cole monster could heinously betray people treat kindness generosity sheer greed mind boggle rest peace carol reggie
19,effort become retire wealthy,year old retired silicon valley engineer retire november reach age well definitely wealthy 30–40 wife income come social security rest come 401k ira pension stock plus long mortgage significant debt live brand new custom design square foot italian villa style home acre texas hill country pay cash sale california home silicon valley square foot upstairs portion independent studio apartment separate entrance full bathroom kitchenette currently rent local college student home care giver old take care annual income around per year make twice silicon valley bill except utility grocery property taxis supplemental healthcare insurance medicare primary coverage pay outpatient care low cost supplemental insurance pay remainder plan almost year ahead suggest c’est la vie
20,one thing warren buffett want,warren buffett golden mcdonald card mcdonald brilliant card award limitless mcdonald food whenever establishment omaha end life nothing know stunningly right card select restrict main top level individual get hand other card bill door david peterson claim work six mcdonald area california whose father create egg mcmuffin
21,remove property thought would come property purchase,year ago sister law husband look buy first house uncle itching buy lot new subdivision build house buy two lot begin build offer sell old house family rate sil new one complete family rate turn market rate upset get discount plant tree yard decide build new house move realize tree look buy kind plant around new house price go guy spend much land house furniture afford expensive tree want plant several month sil family move uncle return tell new tree part sale dug yard move across town new house spend month brag whole family generous help niece bit timid anyway want huge family stink say nothing 10 + year later discussion real estate sale clearly husband right trust uncle
22,would agree tail could never remove always visible exchange billion dollar,easy choice billion dollar unbelievable sum money billion time million lot would trouble spend billion lifetime pay exorbitant price luxurie people even know exist take billion tail get lucky like cat tail help balance wipe tear away hundred dollar bill money buy happiness simply rent darn shame
23,people become millionaire,courage ask — even think possibility want quick fix course scheme shiny thing — want tomorrow wealth build long term lazy thinker — find well way provide value marketplace improve themselves — time financial literacy develop skill shift mindset etc never take action — never start business try anything feel good reading answer save money — make money work bad belief money — money evil make million take away poor scarcely selfish — want provide value instead want make quick buck run budget live mean — poor financial skill remember money mindset game fix
24,difference rich people mindset poor people mindset,big difference encounter exposure side wealth spectrum value people place time wealthy people much likely use money save time money internal value put time less wealthy people grow low middle class family surround low middle class family adult life back take pride able thing even saving trivial cake could buy ingredient make ripoff kid since would ever expose kind thinking make sense remember several time help parent make build thing could pay someone else make build know right tool and … importantly … put price tag free time maybe enjoy thing maybe person spend hour making cake save actually enjoy bake maybe realize value hour college take job work wealthy suburban chicago family take care disabled son eye open world thing could pay people reason value free time think eye opening incident cater thanksgiving dinner house child preppe thanksgiving dinner multi day several hundred dollar event require multiple trip different grocery store day clean house preppe food cooking food morning spending hour enjoy day worth clean next day exhaust boss first thanksgiving work take like minute pick food want catering menu order entire thanksgiving break spending time friend family absolutely stress deal meal part holiday told probably spend much parent spend grocery whatnot could live upper middle class lifestyle day value time always mind make decision evening example dinner plan could stop grocery store way home get everything need make say burrito go home make clean kitchen afterwards … could open new window laptop really quickly log grub hub spend three minute order usual local mexican restaurant deliver home would cost would save hour work worth hour think
25,develop strong personality,way help develop strong personality people tell fake life high school acquire ability ease flesh smile anytime talk people speak clearly make message clear ask question question begin work well let people discover talk knowledgeable try much deep knowledge different topic speak necessary always make sense valid point complain bawl suck fair get anywhere life quality people like around encourage genuinely help encourage people well feel good people like use hand conversation use hand make comfortable highly presentable conversation gossip quality people gossip need put people feel good wear clean shoe wear anything dress sense appearance matter lot way make presentable people go treat boost confidence always learn new stuff every day afford travel much compare anybody thing way invent style memorize people name avoid use ' hey ' address people time repeat people name constantly anytime conversation humble nobody like time show yes good enough need shove people face kind always kind genuine solution people problem free bonus ever curious truly something need see feel little bit surreal almost accurate true even delve deep archetype could help think true everything matter minute heart captivate click discover archetype matthew thank read
26,receive three offer rental property sale realtor say counter one offer correct,receive three offer rental property sale realtor say counter one offer correct need check state law normally correct true nevada order counter offer must accept subject term counter offer can not accept one offer can not counter one multiple offer really like realtor contact agent ask highest good offer accept one reject hope another well offer come along
27,co worker ever try hide wealth poverty work happen,research lab hire new post doc seem little odd nice get along well one day ask anyone roll tarp could one young man answer huge roll barn need next weekend tarp load drive address give arrive confused house small travel trailer young guy assume guy live alone like could build something knock door hear lot commotion inside door fly open see child scramble see woman appear behind ask friend call come door peel kid back open young guy say tarp go truck kid spill around least kid age seven unload tarp part way turn man go build yurt live
28,net worth million,blow trip vegas drinking buddy list main investment similar money year common asset sensible millionaire know fully pay personal residence vacation home rental property reliable car like electric substantial renewal energy system solar work well well fund retirement investment account saving fund kid college expense broadly diversify low cost etf investment core growth high quality bond income month emergency cash fund put asset trust fund draw sufficient insurance protect family hobby involve appreciate asset commercial junk solid plan future money debt nothing crazy risky that s position today live come realization really want money last least lifetime maybe provide legacy child child college fund etc fortunate enough come type money key appreciate unique position would shame irresponsible blow thro ignorance show people around less fortunate respect right thing smart do nt typical douche bag ex rich guy everyone joke party golden opportunity lose
29,rich people wealth cap certain amount beyond government take reduce grow inequality,theory sort make sense practice try work terribly let see keep wealth cap 1b sound reasonable amount however top entrepreneur equity wealth way elon musk jeff bezos sundar pichai hang boot expect work free hang boot significant harm economy among productive member society neither happen would specialise hide wealth entrepreneur across develop world guy smart enough run great corporation also smart enough buy politician tax authority rampant corruption want intelligence go corrupt society productively work society bear unequal thus inequality wealth smart great career other might simpler way reduce income inequality fight crony capitalism — government favor particular company instead make easy small entrepreneur succeed thrive small company would compete large company drive price profit help consumer save well reduce inequality eu place somewhat decent job protect competition thereby low inequality vote reduce inequality vote productive competition sector monopoly say operate system mobile phone laptop government mandate fund research alternative provide r free domestic company we government work internet gps india upi payment system create 1000 company competitive economy perfect example government work could do lot sector
30,become extremely rich possible keep secret bind become public,completely secret low profile super rich completely unknown guy one america rich people co found home depot pretty sure unless work home depot probably idea guess walk around city america recognize complete secrecy hard wealth type wind getting involve public company like home depot company disclose thing like much pay executive know exactly much mark zuckerberg tim cook make every year company disclose information public company ownership stake company also public know many share meta zuck own hand inherit money keep private similarly private company also largely confidential thing get today society completely safe scrutiny matter super high profile rich guy thing require people like elon musk seek public spotlight bill gate other seek use wealth make public policy simply influence people event rich people
31,rich start farm,well yes unless willed farm relative successful farming make living need least thousand acre farm ground dry land summer follow equipment really expensive seed fertilizer fuel chemical none cheap operate borrow money tough especially mother nature corporate good year bad year part farm acre irrigate corn cost dollar per acre put ground silage chopper cost thousand dollar new use week year
32,qatari government suddenly care follow islamic rule regulation specifically regard world cup,qatar always relatively conservative muslim country qatar practice madhab school think islam closely align saudi arabia difference much like uae qatar open outside world much early qatar one sister actually go university qatar often say local qataris religious many iranian abstain alcohol pray daily visit mosque friday dress modestly even wealthy student university could often see dress like qatar modern give large rapidly expand expatriate population local relatively tolerant faith culture qatar also seek grow international relevance walk tricky tightrope maintain conservative image also show open foreign business tourism many people realize qatar actually play clever game politic qatar amplify publicize strict average wc rule attempt gain respect prestige muslim world many westerner look rule disgust many people muslim world even conservative christian praise qatar backtrack religious law qatar single handedly boost popularity influence region limited financial benefit actually incredibly smart strategy
33,much money typically make one publish book sell copy,author much average paperback day retail typical author commission depend format—5 new author mass market paperback trade paperback hardcover assume trade paperback copy ten percent author quit day job
34,find one million dollar hide safe house buy deposit bank account without get trouble,way lucky would devious way tell child few people know well leave money six month seller come back claim give thug come look give try learn history house see whether anyone use live currently jail trouble touch money think whoever hide money might die unexpectedly without inform family member case safe six month get another safe find another place keep money dispose old safe altogether someone come back ask say know nothing maybe seller take someone else could gotten contractor home inspector etc many people come house know go buy reloadable american express visa gift card refill cash local store like cvs one every time load much card maybe time basically expense point pay gift card carry much cash dangerous use gift card instead say run back safe often take 10k time divide among family member safe place keep money job direct deposit bank get paycheck every pay period deposit check attach random amount cash less paycheck little high much would seem weird every month deposit random amount 7k 10k bank never exact amount like 7k 10k never whole dollar like marry two bank account addition 60k year pay toward mortgage side business get pay check cash one friend bartender fun attach cash whenever deposit decent amount money bank either buy couple rental property pay mortgage please consider gift squander
35,would happen walk bank deposit million dollar cash bank machine count,deposit million cash bank first bank want know money came call know customer federal law get huge amount trouble take money assume buy story get money count 100s teller able count hour mixed denomination take much long even machine branch machine finish count money fill federal form tell government deposit large amount cash may make government curious could start investigation also branch go may want take money bank like lot cash around security reason schedule another visit armored car company get rid cash additional expense plus small branch may extra teller sit count money
36,feel todd julie chrisley case outcome prison sentence rich people,todd julie chrisley protagonist usa network show call chrisley know good show follow interaction todd julie along kid live affluent life wife love show think hilarious thought annoy entitle jerk ostensibly todd julie successful real estate developer live lavish lifestyle turn true actually inflate value property loan purpose use money finance lifestyle get loan pay debt ponzi scheme bank investor along way develop present fake financial statement inflate net worth income convenient deflate number tax man come call sound familiar convict bank tax wire fraud todd get year federal prison wife julie get seven year get year supervise release well federal rule serve sentence todd next breathe free air julie appropriate give nature scope crime
37,cool thing expensive,coolest impressive non expensive thing one tough nearly indestructible plastic coke bottle fill water bane course mid oceanic plastic island cool simply incredible pressure seal due obvious need bubbly coke good pressure seal leak break tough plastic backpack wherin like carry water whereas many purposeful sport bottle often create mess especially one conveinient pop valve titty thing one show well year old cleverly design washer need seal let yet cheer
38,rich people like buy expensive watch,watch alongside white americano link rolex yacht master watch everose rolesor combination oystersteel ct everose gold m126621 would say rich yet haha earn good live property side business ok total personal income around 150k per annum endevour lot answer talk movement craftsmanship bla bla honestly furth mind buy mine three clear reason compel purchase watch base two successful professional milestone first second year self employ consultant come phone accountant year end tell decent amount money leave business went buy first rolex datejust second would finish big property refurbishment project refinance take decent amount money put trade datejust upgrade yatchmaster picture remember win whenever wear watch worth safe store money wear watch sparingly year worth 1k use buy new close increase bad friend haha shallow reason yes admit element competitiveness keep jone also like appearance positive reflection life finally could afford f haha yeh non rich person reason honestly could fairy baby yoda inside move hand would non wise
39,anyone become millionaire work someone else,several employee salarie excess 6 m per year ask millionaire none business definition millionaire net worth excess 1 m seem contradict idea get rich work someone else
40,think government distribute wealth tax rich heavily use fund help poor another method prefer,really strange … i read constitution read bill right declaration note founder constitutional convention find anywhere government empower distribute wealth accord preference desire fact read lot stuff government exist secure protect right among right private property right word right fruit labor would seem government arbitrarily decide take give other simply trample right protect far many understand compelling thing america found idea government exist protect natural right society organize around idea individual freedom individual liberty central civil society american approach stand stark contrast nation base various flavor marxist philosophy individual right subordinate need state form government individual exist serve state nation might indeed bother actively distribute wealth elite see fit enrich favor group america every patriotic american disgusted idea believe government distribute wealth accord whim
41,improve personality,conduct must calm much frenzy excitement aggression make people repellent light calm smile take tough decision never push people impress act someone wish impressed work nice humble let people decide would like expect everyone love one care much people judgement stay free pressure stand people expectation walk choose path pride respect irrespective achievement failure high ego inferiority complex people strong personality value word give power speak say countless meaningless word day respect say consider verbal contract commitment right fear face consequence mean learn say learn stand number people wrong right judge value materialistic result money honesty mean less money need evaluate monetary result honesty highly respectful everyone especially people anything less money talent skill privilege give respect cost little ego give beautiful image life remember stand true disrespectful people anubhav jain
42,money allow people get away crime america,question money allow people get away crime america yes unequivocally yes look example case robert h richard iv headline du pont heir dodge prison raping year old daughter judge rule would fare well behind bar look case actor robert blake murder wife look jeffrey epstein sex trafficking case epstein pervert molest sex one hundred girl young might want review ethan couch affluenza case ethan kill four people affluenza case ethan couch kill dui wreck set release street apartment chicago marshall berlin wealthy vice chairman berlin publishing company throw metal chair push nude girlfriend death window high rise apartment john hancock building police arrive mr berlin even lawyer berlin call ambulance police call lawyer berlin refuse answer question take lie detector test building window send state testing believe chicago illinois company could easily bribe berlin get away murder woman fall john hancock center newspaper com five hundred case could cite wealthy man commit murder child rape use wealth influence get away small scale know guy big political campaign contributor connect can not arrest routinely violate traffic law directly front cop touch recognize car low license plate number let wants even laugh say watch something egregiously illegal right front couple cop one time know stop honest cop recognize use mobile phone speed dial someone mayor office simply hand phone cop cop repeatedly say yes sir someone phone repeatedly apologize mr big inconvenience town woman prominent family drunk stop drunk driving cop rather arrest charging would call mayor ask mayor drive site stop order cop forget incident happen give drunken woman ride home cop obediently comply wealthy people get away crime every stage crime investigation one trial wealthy person treat differently would cop frighten wealthy man reluctant offend wealthy belong club socialize give campaign contribution politician control whether cop job wealthy make trouble anyone crosse reason use influence call favor commit crime many government agency police department restrict access file concern politician politically connect celebrity wealthy file keep secure area access severely restrict early 1970 computer system agency department configure block access vip file access require special authorization top brass attempt look without approval example merely type name vip would trigger alarm start investigation vip employee dare look file wealthy lawyer fixer retainer speed dial pay enough matter hour mouthpiece show protect marshall berlin push girlfriend high rise window body smash pavement berlin lawyer arrive cop wait mean wealthy deliberately commit crime avoid prosecution wealthy client frequently ask lawyer accountant banker get away way deceptively structure criminal business operation tax evasion scheme disguise make expensive difficult trace prosecution highly unlikely defense design law firm accountant bank wealthy never talk cop information cop get obtain wealthy man lawyer negotiation unless place like southern district new york local prosecutor always work class legal dream team defend wealthy thus prosecutor limited office budget retain job base upon win loss ratio reluctant even bring case wealthy go trial wealthy afford buy exonerate testimony expert witness work attorney legal mega firm wife keep list doctor expert know corrupt referred prostitute hire would sell service high bidder say whatever pay say wealthy select jury favor hire psychologist advise attorney jury selection process expensive private investigator examine live every potential juror thus trial even start jury box already stack juror favor wealthy defendant trial even begin wealthy defendant hire expensive public relation firm develop plan marketing defendant jury attempt subvert entire jury pool massive marketing campaign common wealthy criminal defendant hire professional wardrobe consultant image makeup consultant jury see stand defendant professionally train make costume actor wealthy routinely engage criminal activity business practice could prosecuted catch assiduously culture acquaintance offer favor power elite ostentatiously donate part ill get gain social association wealthy masquerade charity allow need call favor other testify good character interestingly protective behavior originally promote gangster al capone make mandatory chicago lawndale mob require sleazy member contribute charity wealthy avoid prosecution simply buy accuser pay hundred thousand even million dollar make case go away list man seemingly endless donald trump fixer go jail list notorious include harvey weinstein bill areilly roger aile michael jackson wealthy simply pay make charge go away judge generally white man privileged class although often hostile treat poor minority badly deferential towards wealthy see two behavior judge many time example judge ellis sentence paul manafort less minimum recommend sentence state manafort live otherwise blameless life manafort lie fbi engaged witness tamper committed crime await trial enrich engage tax fraud bank fraud thirty year judge protect social class wealthy buy district attorney judge doubt look operation greylord chicago operation greylord wikipedia read non prosecution agreement allow jeffrey epstein avoid life sentence stop investigation wealthy man involve epstein opinion | nothing jeffrey epstein deal prosecutor remotely normal yes enough money united state allow person get away crime attorney wife frequently tell united state much justice pay
43,sign show woman wealth class britain,wear tweed wellington headscarf drive proper land rover sure sign considerable inherit wealth
44,get rich creating website,find right niche right time right place yes friend guy work atlanta back late 90 early 2000 apparently knitter start discover joy alpaca wool idea special it — i know fuckall knitting — but apparently people alpaca wool big deal problem alpaca farm we time operate large scale little mom pop shop own like five alpacas something could go bob knitting mart hobby depot yarn r we wherever go buy yarn buy alpaca wool set website kind like ebay knitter little bit front end work bring era design era design pretty awful site become place people go want alpaca wool place little mom pop alpaca farm could find people want buy wool friend friend get percentage every sale become millionaire understand nowadays buy amazon course
45,support communism,easily see appeal quarter imagine peasant tenant farm actually serf bind land permit take profession land own rich landowner take percentage crop rent although none labor make grow take whatever percentage want even year drought leave little child starve government corrupt control entirely benefit landlord status peasant may even allow vote church also demand tithe pay may go hell receive last rite bury consecrated ground skill sell banding together other ask money unionize death penalty offense life utterly constrain may even illiterate son may taken deprive labor fight war even understand bad yet grain may seize war effort farthest ever travel life kilometer hear rumor great worldwide movement replace peasant land run government everyone would allow vote even woman corrupt government landlords rack rent pay share among nobody go hungry pool resource buy new farm equipment share fairly movement secular — no tithing support education everyone allow people get well job choice profession support war among plutocrat fight blood gain movement international bright red flag stirring song naturally fight tooth nail government church landlord may require violent revolution bring would worth course never work way practice someone whose life one inescapable impoverished misery despise member inferior class easily see appeal lot american get united state never nobility peasantry except slave another story america also go universal male suffrage pretty early live continent incredibly wealthy difficult make money communism actually adopt many idea united state social equality republican government
