"question_name","question_url","question_views","question_upvotes","question_shares","question_comments","answer","question_date","question_date_url","question_shares_url"
"How do children of wealthy families feel about their parents' wealth? Are they proud or embarrassed?","https://www.quora.com/How-do-children-of-wealthy-families-feel-about-their-parents-wealth-Are-they-proud-or-embarrassed","733.1K views","3.1K upvotes","15 shares","150 comments","My family were not only wealthy but they were famous. Not only did my parents have wealth; everyone knew it. We lived in the largest house in Maryland where Presidents and Royals came to visit.
As children we were away at school, I was in England and I used to fly home to Maryland for vacations Christmas summer etc. I would often take friends with me, no one in England had heard of Chef Boyardee, there was no internet or cell phone cameras, so when my friends were driven to my home from the airport they were always intimidated.
It would never get old when someone asked ‘how do you pronounce your name’ i would reply ‘ it is pronounced Boy-ar-dee ! Just like chef ! To which people would ask, ‘any relation’ and I’d say yes, grandfather. They treated you like you were American Royalty. Without the need to show off, my parents were generous as could be, they would go to and host dinners, galas charity functions and be able to spend donate lots of money. It was seen as an obligation, but knowing they had the means to do this and did this made you feel good.
This was before the internet boom and the technology revolution that created hundreds of multi millionaires, this was a time when people knew you had 50 million dollars it was like being Jeff Bezos is today.
I was never ashamed of my parents wealth, but I was often ashamed of them as people, (just like any kid about their parents ) growing up rich had a lot of benefits, but it had a lot of drawbacks. One thing never seems to change in wealthy families, there’s jealousy, bitterness, resentment to those who have; from those who do not and that’s from within. My father was married twice, and had children from both wives, I was from the new wife. My mother was treated like a spoiled little child who should have been thankful ! It caused a lot of mental issues throughout growing up, a lot of stress, marital abuse which became child abuse. When you live with horrible people it does not matter how big their bank account is.
I was always proud of the generosity to society of my parents and I know what great things they did. However, they had a lot to learn about being parents. In that respect they were just normal people.","","",""
"What happens when you receive over a million dollars into your bank account?","https://www.quora.com/What-happens-when-you-receive-over-a-million-dollars-into-your-bank-account","71K views","48 upvotes","6 shares","3 comments","A couple things would ensue if you just walked into a bank ready to deposit $1 million into your account.
First, the teller would probably need a couple seconds to realize you legit just brought a million bucks to a bank. Second, after he/she got themselves together and stopped dreaming about all the things they could do with all that money, their suspicion level would go way, way up. Normal businessmen or rich people don't usually just deposit a whole million into their account. Most people with that much money on hand have separate banks, so you already look like a guilty amateur.
However, if you provide a reasonable explanation on why you have so much money and why you want to deposit it in the bank, 9/10 times (granted you plan on doing this 10 times) the banker will just laugh while he/she deposits the money, and when you leave the bank will file a suspicion report to the U.S. Treasurey. From there, the treasurey will ever so silently start tracking your every dollar and see where it goes to. Now that you're money is under 24/7 surveillance, any illegal transaction will result in a manhunt to have you tracked down and arrested, and then the FBI/Treasurey would seize the money from the bank.
BUT, if it's all LEGAL money that you saved since you were a wee-boy up to where you are now, and simply just feel like depositing the entire million into your account, that's 100% fine and nothing will occur other than a raised eyebrow.
However, there is the slight chance that the banker/teller decides not to allow the deposit. Two things will happen here:
1. They will call the police. Then the police will literally arrest the money, not you but actually the money, until you can prove the money is yours. While this is not common protocol in any means, it can happen.
2. The teller or banker will simply ""delay"" the deposit until a ""higher-up"" can verify it being legit. From a former high-end bank teller:
""I have personally been delayed awaiting manager approval for (non-cash) transactions in the 200K range -- on such occasions, the teller used a particular subtle phrasing which seemed to connote 'This is not an illegal or questionable transaction, it's okay for you (manager) to approve.'""
You see, the bank only really gets suspicious if you aren't paying in cash. If you pay such a high amount through check and it bounces, the bank very well could go bankrupt.
So if you want to deposit a million bucks, to avoid most suspicion, deposit in CASH, make sure you have documentation proving its your cash and you obtained it legally (i.e. taxes are documented as paid, etc.) and you aren't wearing torn pants and a dirty shirt when you go to make the deposit.
In conclusion, the most likely thing to happen is just some raised eyebrows and a report the Treasurey ... If you look the part and pay with cash. But really, everything stated above could happen.","","",""
"Is it possible to become a millionaire without debt?","https://www.quora.com/Is-it-possible-to-become-a-millionaire-without-debt","1.1K views","11 upvotes","8 shares","1 comment","It is, but most people actually indirectly get wealthy through debt.
What do I mean by that? Many “everyday millionaires” might think they haven’t got into debt. Maybe they haven’t used credit cards and business debts.
Yet most have made more money from getting a mortgage that buying the property in cash.
The majority have also directly or indirectly (through pensions) invested into the stock market. Those companies use debt to grow.
Debt is a double-edged sword. Leverage increases the gains, but also the risk. Charlie Munger once said there are three ways smart people go broke - liquor, ladies and leverage!
The dangerous thing about leverage is that it works most of the time. Therefore, you might start out sensibly. Once it works, why not go for more and more?
You also need to be right more often as per this quote:
I know several people who went broke during the 2008 financial crisis, as they needed to sell properties to pay back the loans that were called in.
Somebody who would have leveraged out on the indexes like the S&P500 would have also made a fortune in the long-term, but plenty took leverage took far.
So, use debt sensibly. It can be your making, or breaking. You can get it right ninety-nine times out of a hundred, and that one time you fail can be your undoing.
What is true is that most people who get wealthy use different types of leverage, which isn’t just financial leverage.
What kinds of leverage am I referring to?
Financial leverage/debt. We have already discussed that
Leveraging people. Employing others to do tasks for you
Leveraging time. Compound investing returns is a great example of this
Leveraging technology. You can’t be in over a hundred countries at once with the old model. You can be if you are online.
Basically, if you just invest in yourself and gain high skills, it isn’t easy to get wealthy, unless you save really hard.
Even then, inflation might erode the capital. Therefore, investing in time and other kinds of leverage can be very effective.
Some Reading
How can you prepare for a recession? | Adam FayedHow can you prepare for a recession?
https://adamfayed.com/how-can-you-prepare-for-a-recession/
Your biggest investment worries - resolved here | Adam FayedOn this article I tackle some common investment worries
https://adamfayed.com/your-biggest-investment-worries-resolved-here/
How to create a 7 figure business | Adam FayedHow to create a 7 figure business
https://adamfayed.com/how-to-create-a-7-figure-business/","","",""
"What are the things which money cannot buy, but which poor people may enjoy more than rich ones?","https://www.quora.com/What-are-the-things-which-money-cannot-buy-but-which-poor-people-may-enjoy-more-than-rich-ones","571.2K views","6.9K upvotes","78 shares","157 comments","Do you know anyone who is truly poor? My wife came to the US in 2015 and her family came in December 2022 and lived in Havana, Cuba their entire lives. They were truly poor by nearly any standard. As a child, the family of 5 lived in a one bedroom, one bathroom house with a fan and boiled hot water for their “shower”. My wife slept next door at her grandmothers house in the same bed as her grandmother. They had nothing of material things but one thing they did have is friendships. Everyone was generally struggling to survive and something you see in Cubans who have been oppressed for 63 years is that they enjoy friendships. Every day, several times per day, friends stop by unannounced.
It’s a very social community. It includes serving a cup of super strong, super sweet Cuban coffee and some juicy gossip about nothing if Importance. Sometimes you will see large huddles of men in a circle and mistake it for a serious brawl about to take place. Emotions are flaring, voices full of emotion and yelling. But relax, they are simply “discussing” baseball! To watch the energy expelled over such a trivial topic gives perspective to what life has been reduced to for Cubans. They barely survive yet they have one thing that most people don’t take the time to enjoy: relationships.","","",""
"Does being rich make you happier?","https://www.quora.com/Does-being-rich-make-you-happier","301.9K views","524 upvotes","25 shares","","Warwick University did an interesting study:
They found that people are happier when they are doing better a little bit better than their neighbors and people they are close to.
The person earning $90,000, who is surrounded by people typically earning $70,000, will often be happier than the person earning $500,000, but surrounded by people earning millions.
Therefore, if you want to be happier, often it makes sense to live in an area below your financial capabilities and not just “trade up” when it comes to property.
Beyond that, money can help to make people happier, if they use the cash in the right way.
For most people that is:
Spending on experiences, especially novel and new ones, versus on things which get old. That new car or iPhone gets old fast. In comparison, most of us remember the first holiday with our kids or spouses.
Giving to others. Countless studies have shown that those who give to good causes have lower levels of stress and anxiety, and this can be shown by comparing blood results and other measures.
Focusing on security as much as things. The sense of being independently wealthy, and able to take a year off or retire early, is more relaxing than always needing to work.
Not comparing yourself with other people and the consumption habits they display. Also, not being pressurised by society to live up to a certain standard. Most wealthy people who still live in the same old house are happier than those who always buy a bigger place.
Focusing on health and our relationships with people around us.
Having some kind of balance in life, even if we work hard.
Buying time in some cases. That could be outsourcing as a business owner or retiring early if you hate your job.
Focusing on hobbies and what you actually enjoy, once wealth has been accumulated. For some this is work. For others, it might be something else.
In comparison, some people get more miserable as they earn more. Those people typically just care about what general society thinks.
The next Instagram picture, showing off, is more important than the actual experience.
When people say that money can’t buy happiness because numerous studies have shown that whilst money makes a big difference at the lower levels, it doesn’t seem to have an effect once people are comfortable and then become very wealthy.
That is partly true but isn’t the whole story. If people use money in the right way, it can make a difference but doesn't buy happiness automatically.
Let’s put this another way, a lack of money indirectly causes many of life’s problems - more chance of divorce, death, and disability.
At least managing money well increases your odds of happiness, if you use it correctly.
Some Reading
Want a chance to speak to Kevin O'Leary from Shark Tank? - Adam FayedWe are delighted to announce our forthcoming event
https://adamfayed.com/want-a-chance-to-speak-to-kevin-oleary-from-shark-tank/
Your biggest investment worries - resolved here - Adam FayedOn this article I tackle some common investment worries
https://adamfayed.com/your-biggest-investment-worries-resolved-here/
What is the number 1 difference between millionaire investors and everyone else? | Adam FayedWhat is the main difference between millionaire investors and everybody else?
https://adamfayed.com/what-is-the-number-1-difference-between-millionaire-investors-and-everyone-else/
Adam Fayed PodcastWelcome to the Adam Fayed podcast. The financial podcasts for expats, people interested in investing and passive income. Ways to Interact With Me Email: advice@adamfayed.com WhatsApp: +81-90-9851-0589 Disclaimer Videos should not be considered financial advice nor a solicitation to invest
https://www.youtube.com/channel/UChK5TMy_Yhae6vnyvIDbL7g/videos","","",""
"Did a co-worker ever try to hide their wealth or poverty from those at work? How did they do it and what happened after?","https://www.quora.com/Did-a-co-worker-ever-try-to-hide-their-wealth-or-poverty-from-those-at-work-How-did-they-do-it-and-what-happened-after","69.9K views","4K upvotes","7 shares","14 comments","When I was in college I worked at a big box store. My job was to do inventory and I also did some surveillance work since I could be on the sales floor in plain clothes while logging the inventory. One day I saw a co-worker shopping on her day off with her teenage son. It was obvious they didn't have much to spend and she and her son were going through coupons. I heard her tell her son on several occasions to put certain items back because they didn't have a coupon or enough money. I stayed unnoticed and continued working. Later, I saw her at the cashier line and said hi. It was at that time that I noticed she was only buying a few essential items. She was paying mostly in coins. She apologized but then mentioned that was all she had.
The next day at work, we somehow ended up talking about the cost of certain bills we had. It was at that time that she disclosed that she rarely makes enough to pay the bills and sometimes she has to use change from her and her sons piggy banks to buy essential groceries. I thought that was really sad. Since I was in college at the time, working but living in my parents home essentially rent free, when Christmas came around. I anonymously put a Christmas card containing a $50 gift card for the store we worked at in her work mailbox. I never told her it was from me. She was grinning ear to ear that day. I was so glad I was able to help her even though it was not much. Later I learned that she had thought the store handed out bonuses and that everyone had received a gift card.","","",""
"Why do the rich get away with crimes?","https://www.quora.com/Why-do-the-rich-get-away-with-crimes","22.5K views","52 upvotes","1 share","4 comments","Honestly? Because they are in the same social circle as the politicians who make the laws and the prosecutors, judges, etc., and they donate tons of money to those politicians. Plus, since they’re the ones who make the rules and set the penalties, they make punishment very lenient for the types of crimes they commit. Here’s an example of what I’m talking about: a guy knocks down an elderly woman at an ATM machine by grabbing the cash she just withdrew. If he gets caught and he’s poor, he will get a public defender and let’s say the elderly woman’s leg was bruised when he knocked her down. A three year stip in a maximum security prison would be a reasonable sentence to expect (Oh, and a stip means he actually has to spend the whole three years in prison, no parole) And the type of prison I’m talking about is the kind you see in movies; shanks, fights, gangs, all that, so he isn’t going to have much fun.
Now, same elderly woman, but this time her financial adviser embezzles three million dollars, her life savings, her leaving her destitute with no money to pay for her home, food, medical expenses, etc. To the point where, before he embezzled the money she had a nice condo, a car, and that sense of comfort from knowing she had more than enough money in the bank to carry her through the rest of her life. And now she will be a ward of the state, spending her remaining years in a crowded government run nursing home. If her financial adviser is caught and convicted he might spend a few months or a year in a minimum security, and if his lawyer is good, a federal prison that has a jogging track, basketball courts, library and many of the other comforts of home.
Is that fair? Who really hurt the elderly woman more: the guy who grabbed twenty dollars from her hand and bruised her leg, or the guy who stole her life savings and destroyed her life.
Actually I tried to trick you. The reason I said the financial adviser could expect to spend a few month or a year in prison was just a way for me to show the difference between the prisons where rich people go and the prisons everyone else go. In real life - and I’m not making this up - for the crime committed by the financial advisor, the theft of three million dollars, Lets say he’s thirty-eight years old, wife, kids, etc, this is his first offense, I would not be in the least bit surprised if it was, in fact I would expect his sentence to be something like a hefty fine and community service, and of course restitution to the elderly woman which his lawyer will delay using legal ploys to tie the matter up in court until she finally dies.","","",""
"What is wealth to you?","https://www.quora.com/What-is-wealth-to-you","2.6K views","123 upvotes","6 shares","13 comments","What is wealth to me? It’s a tool to achieve what I want. It’s also kinda make-believe… No - I don't mean I’m broke, I mean the whole concept of being wealthy (in some instances) is kinda sleight of hand.
You see, we have a property portfolio. Property in New Zealand is quite expensive... As in ‘lot’s of zero’s’ expensive. We have quite a few properties meaning we have quite a few zero’s BUT, the zero’s aren’t ‘real’ until the property is actually sold and its value realised.
Let’s say someone has 5 million dollars in property in New Zealand (that’s just like… 5 houses in Auckland 😏- **also, avoid AKl for residential-property investment) and the property market in NZ dives by 40% then what that means is that someone's paper value of 5 million has just had their net worth effectively drop to 3 million (losing 2 million in equity) and the person hasn't even lifted a finger and is probably still making the same returns (depending on how they have their portfolio leveraged) and is only really affected if they want to borrow based on their net worth.
Let’s say someone had a property portfolio of 2 million and the same thing happened… They go from being a ‘multi-millionaire’ to … well… not being one. It’s a hollow title. (Pointless sidenote: You need a net wealth of 3.86m to qualify as NZ's top 1%).
Stocks are much the same. Ditto for bullsh!t like bitcoin. Look at FTX tokens:
Image source: link
People went from imaginary billionaires to very real broke-a$$ paupers.
When you start playing in this area, it’s at this point that you start to realize that ‘wealth’ and big money are often nothing more than a hollow facade based on what people think things are worth (at any given moment).
In addition to that, interestingly, the genuinely wealthy people I know look like the most broke people on the planet (driving old utes and wandering around barefoot) whereas some others I know (who buy the latest cars and accessories and rent very large houses) are actually super broke and leveraged up to the eyeballs.
Wealth is often nothing more than 3 card monte. No one should be respected just because they're ‘wealthy’ or disrespected just because they might appear broke.","","",""
"Did a co-worker ever try to hide their wealth or poverty from those at work? How did they do it and what happened after?","https://www.quora.com/Did-a-co-worker-ever-try-to-hide-their-wealth-or-poverty-from-those-at-work-How-did-they-do-it-and-what-happened-after","95.1K views","1.8K upvotes","4 shares","30 comments","My research lab hired a new Post-doc who seemed a little odd but nice. We all got along well. One day he asked if anyone had rolls of tarp that he could have. One young man answered that he had a huge roll in his barn he didn’t need.
So the next weekend the tarp is loaded up and driven to the address he was given. When he arrived he was confused as there was no house there, only a small travel trailer. The young guy assumed this guy was living alone like this until he could build something. He knocked on the door and heard a LOT of commotion inside. The door flew open and all he saw were children, all scrambling to see who was there.
A woman appeared behind them so he asked for his friend. She calls him and he comes to the door, peeling kids back so he can open it. The young guy says has has his tarp so they both go out to the truck. Kids spill out all around them, at least 5 kids under the age of seven. They unload the tarp and part ways.
Turns it the man was going to build a Yurt to live in.","","",""
"What do you think of Qatar's sudden edict further restricting beer sales at the World Cup?","https://www.quora.com/What-do-you-think-of-Qatars-sudden-edict-further-restricting-beer-sales-at-the-World-Cup","13.3K views","191 upvotes","2 shares","31 comments","Very unfortunate. But, being honest, I am not as upset about it as some others.
Firstly, I am not a big fan of drinking at sport events. After? Sure. Before? Sometimes. But when you are there, watch the footie. The more you drink the more bathroom breaks you are going to need anyhow. Now, just because that is my preference I don’t necessarily think I should impose it on everyone else, but I am just saying: a fair number of fans are not going to miss it. In the UK alcohol is already banned in all football stadiums and has been for as long as I can remember. Somehow we all survive.
Secondly, the stated reason by Qatar is because they thought alcohol at stadiums would make some fans uncomfortable. Assuming that really is the reason, it certainly isn’t the worst reason in the world. Try to keep a friendly atmosphere and dial back on the public drunkenness in a conservative country - I can see that.
Thirdly, it is not like there isn’t plenty of alcohol available outside of stadiums. I can’t imagine that was an easy thing for the Qataris to get their heads around, so at least we got that.
Whilst it is definitely not brilliant having a change like this so close to the kick off, I suspect people are upset because (i) they are unhappy at Qatar anyhow, and it is another stick to beat them with, and (ii) if you excuse the metaphor, last minute changes like that are indicative of an inability to organise a piss up in a brewery, much less manage the world’s largest sporting event.","","",""
"Is it true that Joe Biden plans to increase property taxes and impose more rent control laws to make it more difficult for real estate investors?","https://www.quora.com/Is-it-true-that-Joe-Biden-plans-to-increase-property-taxes-and-impose-more-rent-control-laws-to-make-it-more-difficult-for-real-estate-investors","27K views","3.7K upvotes","15 shares","104 comments","About 2–3 times a week, a question like one of these floats though my Quora feed:
Now, clearly not all conservatives are stupid. However, it’s sometimes hard to shake the idea that people who perhaps are below the median in native intelligence might tend to skew conservative.
There is no federal property tax.
Joe Biden is not raising property taxes because there is no federal property tax. The President has no say in and no control over property taxes because property taxes are local, not federal.
Same for rent control. Rent control laws are not set by the President because there are no federal rent control laws. Rent control is local, not federal.
If someone tells you “Joe Biden is raising property taxes and passing rent control laws,” that person thinks you’re an idiot. If you believe them, they may be right.","","",""
"Would it be possible to have a poor white and poor black political coalition in America?","https://www.quora.com/Would-it-be-possible-to-have-a-poor-white-and-poor-black-political-coalition-in-America","13.1K views","322 upvotes","5 shares","33 comments","It would be very difficult.
Most attempted alliances between poor Blacks and Whites have crashed and burned — sometimes literally in the form of anti-Black pograms.
Looking at the broad sweep of American history, poor Whites and poor (and not-poor) African-Americans have had extremely poor relations. This is regardless of urban/rural, North/South, and whatever else. They usually stand on opposite sides of the line.
White Southerner ruralites and African-Americans clashing in the South, Reconstruction Era. The Union/”Freedmans Bureau” keeps the peace in the center
Red Summer Riots (1919). They mostly broke out in urban centers, spurred by White proletariats. Here, a White mob celebrates the destruction of a Black neighborhood.
This is something that the “its not race its class” people consistently overlook. Race actually matters in America!
Not impossible. But more difficult than most people think it is. OP isn't the first person to propose such an alliance and they won't be the last.
EDIT: changed second picture
SECOND EDIT: This SNL skit well shows the stark cultural differences that lie beneath the surface similarities between Blacks and Poor Whites.","","",""
"What would you NOT do if you suddenly got 10 million dollars?","https://www.quora.com/What-would-you-NOT-do-if-you-suddenly-got-10-million-dollars","657 views","4 upvotes","1 share","","Tell anybody except for immediate family and swear them to secrecy. Do not tell your relatives because if something happens and you die, you can bet they will be swarming thicker than flies.
Buy a whole bunch of dumb ass shit like boats, fancy houses, luxury goods, etc. I might splurge and buy a nice sports sedan and a few nice things, but nothing over the top. A million dollars is very very easy to spend. Ten million is even easier because once you start some people just can’t stop. On top of that, a lot of dumb ass shit keeps costing you in maintenance, taxes, etc. long after you bought it.
Go to a casino. Yeah it may be fun to act like a high roller, but the money can disappear really fast and the casino will do everything they can to help you. See “spending a million dollars is very very easy” above.
Pick up the phone unless I know the number. No matter how hard you try to keep it under wraps, people will find out you have money and will try to sell you all sorts of stuff. See dumb ass shit above.
What I would do is invest it in a diversified portfolio. I would also prepare an estate and will that clearly spells out who gets what and make sure your specified executor knows exactly where your will is. See swarming relatives above.
Allocate a small portion to have fun with. There is nothing wrong with that. But if you play your cards right and have a reasonable lifestyle, you’re done.
Don’t buy a whole bunch of dumb ass shit.","","",""
"If you have a net worth over 10 million, what do you do?","https://www.quora.com/If-you-have-a-net-worth-over-10-million-what-do-you-do","490.2K views","1.7K upvotes","34 shares","76 comments","Before you blow it on a trip to Vegas with all your drinking buddies, here is a list of my main investments after having similar money for over 10 years. The most common assets for sensible millionaires that I know, and myself are:
A fully paid up personal residence.
A vacation home.
Rental properties.
Reliable cars. I like electric.
A substantial renewal energy system. Solar works well for me.
Well funded retirement investment account.
A savings fund for kids college expenses.
Broadly diversified, low cost ETF investments for core growth.
High quality bonds for income.
A 6 month emergency cash fund.
Put all your assets in a trust fund and have a will drawn up.
Sufficient insurance to protect your family.
Hobbies that involve appreciating assets, not commercial junk.
A solid plan for the future of the money.
No debt.
Nothing too crazy or risky, thats why we are in the position we are today. After living it up for a while, you come to the realization that you really want the money to last at least your lifetime, and maybe to provide a legacy for your children and their children for college funds etc. If you are fortunate enough to come into this type of money, its key to appreciate how unique your position is. It would be a shame and irresponsible to blow it all thro ignorance. Show the people around you who have been less fortunate some respect by doing the right thing, be smart about it. Dont be the typical douche bag ex-rich guy that everyone jokes about at parties, who had a golden opportunity and lost it.","","",""
"Can you get rich off of creating a website?","https://www.quora.com/Can-you-get-rich-off-of-creating-a-website","18K views","557 upvotes","22 shares","4 comments","If you find the right niche at the right time in the right place, yes.
Friend of a guy I worked with in Atlanta did. Back in the late 90s/early 2000s, apparently knitters started discovering the joys of alpaca wool. I have no idea why, or what’s special about it—I know fuckall about knitting—but apparently to some people alpaca wool is a big deal.
Problem is, there weren’t any alpaca farms in the US at the time that operated on a large scale, they were all little mom and pop shops that owned, like, five alpacas or something. So you couldn’t go into Bob’s Knitting Mart or Hobby Depot or Yarn R Us or wherever you go to buy yarn and just buy alpaca wool.
So he set up a website that was kind of like eBay for knitters. I did a little bit of front-end work on it, bringing it from about 1997-era design to about 2001-era design. It was a pretty awful site, but it became the place for people to go who wanted alpaca wool, place where those little mom and pop alpaca farms could find people who wanted to buy the wool, and my friend’s friend got a percentage of every sale.
Became a millionaire, from what I understand.
Nowadays you can buy it on Amazon, because of course you can.","","",""
"What would happen if a rich friend deposited one million dollars into your bank account?","https://www.quora.com/What-would-happen-if-a-rich-friend-deposited-one-million-dollars-into-your-bank-account","35.7K views","64 upvotes","2 shares","","Someone would owe tax. If it’s income, you’d owe income tax. If it’s a gift, your friend might owe gift tax. There is a USD 5.49 million lifetime exemption on gift taxes, so if they just gifted the money to you, then there wouldn’t be tax. However, if your friend was really generous he might owe something.
Bank would ask. Why did you get this money? You’d say. A friend gave it to me. After the bank verifies that your friend is not in the mafia, you’ll have friendly bank people offering you all sorts of investment products, and asking if you would be interested in a loan.
If it’s money for work, it would be subject to income tax. If it’s a gift, it’s subject to gift tax. Don’t try to do something clever with definitions, because the IRS is used to defining things.","","",""
"What evidence is there that wealthy powerful people get away with crimes more than peasants?","https://www.quora.com/What-evidence-is-there-that-wealthy-powerful-people-get-away-with-crimes-more-than-peasants","5K views","350 upvotes","5 shares","6 comments","If Donald Trump had not been rich enough to hire many, many lawyers, he would have spent much of his adult life in prison, and would now be serving out the latter part of his life in community service somewhere.","","",""
"What are some screenshots that deserve 1million+ views and likes?","","","","","","","Nov 20","https://www.quora.com/What-are-some-screenshots-that-deserve-1million-views-and-likes/answer/E-John-30",""
"If my bank were to erroneously deposit $5,000 in my account, how long would they have to catch the mistake before the money became legally mine?","https://www.quora.com/If-my-bank-were-to-erroneously-deposit-5-000-in-my-account-how-long-would-they-have-to-catch-the-mistake-before-the-money-became-legally-mine","29K views","44 upvotes","2 shares","","Had that happen to me. I believe it was about 2000.00. I notified the bank. They did nothing. Notified them again. Still did nothing. Spoke to my best friend who is an attorney, she wrote them a letter. Waited 30 days, she wrote them another letter informing them that after 90 days from the date of the letter, we would consider that money to be mine. After 90 days, they still did nothing. I removed all of the money, closed the account and opened up an account elsewhere. Never heard anything from them about it.","","",""
"Isn't disgusting that the rich can buy alcohol at the World Cup in Qatar but the average person can't?","https://www.quora.com/Isnt-disgusting-that-the-rich-can-buy-alcohol-at-the-World-Cup-in-Qatar-but-the-average-person-cant","21.5K views","330 upvotes","3 shares","27 comments","That’s a bit misleading. I think the fan areas which serve alcohol are open to everyone and don’t charge for entry.
However, you are right that within the stadiums ordinary fans cannot buy a beer, but alcohol is still permitted within the hospitality boxes.
To be honest, if you are looking for a scandal then I think the price they are charging for water (£2.30 a bottle) are more shocking to me.","","",""
"How do you think the government should distribute wealth? Should they tax the rich more heavily and use those funds to help the poor, or is there another method you prefer?","https://www.quora.com/How-do-you-think-the-government-should-distribute-wealth-Should-they-tax-the-rich-more-heavily-and-use-those-funds-to-help-the-poor-or-is-there-another-method-you-prefer","11.8K views","352 upvotes","5 shares","38 comments","More and more I am coming to favor the idea that, upon election to office, public officials must forfeit all wealth to the coffers of the State, then to live on a meager stipend while in office. And this done in lieu of income and property tax.
That is, if the government is to redistribute wealth it should be from the political class to the People.
But under no circumstances will a just state muck about in redistribution schemes amongst private citizens.","","",""
"If money doesn't matter, what would you do?","","","","","","","Nov 22","https://www.quora.com/If-money-doesnt-matter-what-would-you-do/answer/Kirk-Scott-22",""
"Tesla CEO Elon Musk is the richest man on record, but he thinks Putin could be richer. Does Elon have any credible proof to back up his claim?","https://www.quora.com/Tesla-CEO-Elon-Musk-is-the-richest-man-on-record-but-he-thinks-Putin-could-be-richer-Does-Elon-have-any-credible-proof-to-back-up-his-claim","51.1K views","370 upvotes","11 shares","22 comments","I haven’t heard Musk make that claim… but I have heard Donald Trump say that.
He figures Putin has over $1 TRILLION of his own money AND controls the spending of all his oligarchs.
That would make him the customer to have if you’re having only one.
And explain trump’s multi-decade pursuit of the former KGB agent.
As with all of trump’s valuations, there is no science to it — just his gut feeling.
So why would Musk echo this nonsense? Because it takes the target off his back. #2 is always a good place to hide.
How much is Putin really worth? No one knows. He puts money into accounts belonging to family members or trusted associates. And then there’s this:
According to the jailed Navalny, that $1.4 BILLION palace belongs to Putin. It’s in Sochi, where Putin made a bomb selling off land he personally owned to developers involved with the 2014 Olympics. And builders have confirmed many of the construction details cited by Navalny.
Some sources say it was “gifted” to Putin by “associates,” because apparently billion-dollar gifts are a thing. Most of my Russian friends say there’s absolutely no way Putin would put something obvious in his own name, even if it’s his to enjoy.
All of which is just to say it’s impossible to know how much Putin is worth. But that also means it’s impossible to call out MuskTrump on their claim.","","",""
"Would you prefer to earn 10 cents every minute for lifetime or instantly gain 1 million dollars?","https://www.quora.com/Would-you-prefer-to-earn-10-cents-every-minute-for-lifetime-or-instantly-gain-1-million-dollars","27.9K views","126 upvotes","1 share","7 comments","I’ll take the million.
10 cents a minute is just over $50,000 a year. That’s pretty close to a wash in terms of buying an annuity, but I have more options with the lump sum.
Plus, in my country a lump sum is probably not likely to be taxable, whereas a recurrent income stream is almost certainly going to get me hit up for income tax.","","",""
"What is life like for someone with a net worth between $50–100 million?","https://www.quora.com/What-is-life-like-for-someone-with-a-net-worth-between-50%E2%80%93100-million","28.6K views","120 upvotes","3 shares","10 comments","Believe me, life remains the same. You are probably no longer worrying about home maintenance, property taxes, paying for kids supplies, eating out, school tuition and affording healthcare for your family, but you get used to it due to hedonic adaptation. I can tell you about myself and a friend of mine, €.
While both of us belong to the technology industry, € took a different path with no intention of reaching the 50 million club. He achieved his feat by exploiting the software and AI industry and I can attest to the fact that his day to day life is BAU. We hang out every time he pays me a visit to the west coast or when I go see him in Atlanta. We go on boating, golfing and hiking expeditions around the world 2–3 times a year but other then that we are are doing the same things - dropping kids to school/tennis classes, grocery tips, fixing our cars for fun, continuous learning and trying new technologies, writing code, reading books etc. I will take €’s example first.
Around 8 yrs ago as a software engineer, he was running a fast food enterprise, Prayosha Philly Group, which he sold for 5 million post-partner split and began looking into technology consulting opportunities. Last year he got a roughly 20 million exit from a Location Intelligence company, and went on to join a Cybersecurity & defense contractor in Atlanta as their CTO under a 9 million agreement. I have not seen any change in his lifestyle. One thing I admire about him is that he keeps a low profile and participates in philanthropy. If you talk to him, you will never know he’s worth a lot more than 50 million. As a child adoption advocate he believe’s a dollar tomorrow has no value if it can help someone today. That’s deep! In a world where 99% of the rich donate a portion of their wealth after death, € believe there’s no point waiting.
While people like him are outliers, I am more of a conservative and I achieved my humble goal of generating $200K a year in retirement income in 2016, and am now shooting for $300K a year in order to comfortably take care of my two little ones and a 3rd on on the way. I manage that with stock market investments, rental income and a couple of book royalties. While I am not in the 50 million club with €, I am hoping to get there half way through in another 20 yrs if markets were to continue behaving as they have been in the past 10 yrs :-)
Hopefully this answers your question.","","",""
